Rk,G,Opp,USG%,Age,eFG%,BLK%,ORB%
15,15,VAN,9.7,22-234,.333,7.1,7.4
20,20,NYK,24.2,22-243,.000,0.0,0.0
3,3,POR,8.5,22-205,.667,6.1,15.5
11,11,BOS,13.2,22-226,.429,7.0,10.1
62,62,MIA,15.1,22-338,1.000,20.0,20.0
55,55,TOR,30.8,22-323,.333,0.0,19.0
58,58,LAC,4.0,22-329,1.000,6.4,13.7
43,43,PHI,19.6,22-303,.750,13.3,4.7
40,40,SAC,15.9,22-292,.600,5.3,23.4
68,68,PHI,15.3,22-354,1.000,9.7,0.0
24,24,ORL,14.4,22-250,1.000,0.0,12.3
73,73,IND,10.4,23-000,1.000,16.8,0.0
14,14,DEN,6.3,22-231,.000,7.9,6.1
22,22,MIL,11.5,22-247,.500,4.0,14.9
63,63,NJN,17.1,22-340,.333,0.0,12.5
23,23,MIA,7.6,22-249, ,0.0,0.0
65,65,MIA,15.6,22-348,1.000,14.1,13.8
8,8,WSB,7.3,22-219,.667,12.5,16.5
30,30,CHH,8.5,22-269,.500,10.5,0.0
74,74,CHI,13.2,23-001,.556,5.0,15.7
34,34,IND,6.9,22-277,.000,6.7,17.2
36,36,SAS,20.6,22-282,.000,5.0,24.6
44,44,CHI,15.6,22-304,.500,4.2,19.3
6,6,UTA,15.5,22-214,.000,0.0,7.5
21,21,TOR,0.0,22-246, ,12.7,0.0
28,28,MIL,14.3,22-261,1.000,6.3,0.0
75,75,MIL,8.9,23-004,.000,4.4,0.0
25,25,GSW,0.0,22-253, ,12.3,0.0
10,10,HOU,5.5,22-223,.000,6.4,0.0
48,48,MIN,12.8,22-312,1.000,0.0,0.0
60,60,DEN,8.8,22-335, ,0.0,22.2
37,37,DAL,14.7,22-283,1.000,5.6,22.9
46,46,MIN,16.6,22-308,.833,2.8,17.9
18,18,LAL,16.6,22-240,.429,14.8,5.3
7,7,CLE,14.9,22-215,.667,3.1,10.0
31,31,NJN,11.5,22-271,.333,3.8,3.5
39,39,IND,16.2,22-290,.000,5.8,5.8
2,2,CHH,5.2,22-204, ,8.2,13.7
1,1,NYK,8.9,22-200,.000,0.0,0.0
67,67,CHH,16.9,22-352,1.000,5.6,17.1
4,4,CLE,14.5,22-207,.667,16.3,6.5
35,35,CHI,15.9,22-279,.800,16.7,7.3
72,72,BOS,6.5,22-363,.500,14.4,5.5
