BPG,TOV,Team,Player,FGM,FGA,FG%,3PA,#
0.3,3.5,UM,Daniel Horton,5.7,12.6,0.448,5.5,4
0.1,1.0,UM,Ron Coleman,2.1,5.2,0.409,2.3,55
0.1,1.5,UM,Dion Harris,3.9,9.7,0.403,5.7,26
0.6,2.5,UI,Greg Brunner,4.8,10.6,0.453,1.2,12
0.6,1.1,UW,Jason Chappell,1.5,3.5,0.421,0.5,61
0.2,2.0,UI,Adam Haluska,4.4,10.5,0.419,5.4,14
0.2,3.3,IU,Robert Vaden,4.8,11.1,0.436,6.3,17
0.2,1.5,OSU,Matt Sylvester,2.8,7.1,0.398,2.9,43
0.1,2.5,U of M,Maurice Hargrow,4.1,8.9,0.456,2.8,25
0.3,2.6,MSU,Maurice Ager,6.6,14.3,0.464,6.5,1
0.1,1.4,PSU,Mooch Jackson,2.4,6.1,0.388,3.1,46
0.3,2.1,UW,Alando Tucker,7.1,15.8,0.452,2.2,3
0.0,0.6,PU,Chris Hartley,0.5,1.8,0.306,1.3,71
0.7,3.9,IU,Marco Killingsworth,6.8,12.5,0.542,0.7,7
0.8,1.5,U of M,Spencer Tollackson,3.4,6.0,0.57,0.0,38
0.2,1.9,OSU,Je'Kel Foster,4.0,9.1,0.443,6.0,19
0.6,1.9,NU,Vedran Vukusic,6.8,13.9,0.492,6.2,2
0.0,1.4,U of I,Rich McBride,3.4,8.4,0.404,6.2,31
0.2,1.7,UM,Graham Brown,2.2,3.4,0.637,0.0,58
0.3,0.9,NU,Bernard Cote,1.5,3.9,0.377,2.3,62
0.1,0.6,IU,Roderick Wilmont,3.2,7.6,0.424,4.1,34
0.9,2.5,MSU,Paul Davis,6.2,11.0,0.566,0.6,5
0.8,1.3,UW,Brian Butch,3.8,7.8,0.494,2.2,32
0.2,1.8,OSU,Jamar Butler,3.1,7.0,0.44,3.7,29
0.0,1.7,UI,Tony Freeman,1.2,3.5,0.342,2.1,66
0.1,1.9,MSU,Drew Neitzel,2.9,7.1,0.408,3.4,36
0.2,3.0,U of M,Vincent Grier,5.4,12.8,0.425,1.0,8
1.1,2.0,OSU,Terence Dials,6.1,10.8,0.559,0.0,9
0.7,2.1,PSU,Geary Claxton,5.6,12.8,0.439,2.3,10
0.0,1.1,U of I,Jamar Smith,2.7,5.7,0.47,4.3,40
0.0,1.4,IU,Earl Calloway,1.9,4.2,0.455,1.2,56
0.8,1.0,UI,Doug Thomas,1.8,3.9,0.473,0.0,60
0.5,0.4,IU,A.J. Ratliff,1.1,3.6,0.32,2.1,64
0.3,2.9,NU,Mohamed Hachad,4.6,8.2,0.556,1.8,22
0.4,1.8,PU,Marcus Green,2.0,4.9,0.419,2.2,57
0.5,1.2,U of I,Shaun Pruitt,2.6,5.0,0.524,0.0,52
