SF,GIDP,2B,SB,POS,RBI,OBP,Team,AVG
0,0,0,0,P,0,--,TUL,--
0,6,12,1,C,22,.301,ARK,.206
0,3,7,0,3B,10,.293,TUL,.237
0,0,0,0,2B,0,.182,TUL,.100
1,8,13,7,2B,27,.338,NWA,.294
1,4,12,0,1B,19,.353,SA,.255
1,2,12,2,RF,16,.304,MID,.240
0,0,0,0,SS,0,.231,FRI,.200
2,11,12,15,2B,30,.289,FRI,.257
0,2,0,0,OF,0,.182,ARK,.122
0,0,0,0,P,0,--,SPR,--
3,2,19,12,OF,34,.405,MID,.280
0,0,0,0,P,1,.125,TUL,.125
0,1,3,3,C,8,.297,SA,.224
2,8,16,2,3B,40,.340,MID,.263
1,0,0,0,C,1,.111,CC,.125
0,0,0,0,P,0,.333,SA,.000
4,11,18,30,CF,38,.299,ARK,.214
0,0,0,0,P,0,1.000,SA,1.000
0,2,5,1,C,9,.262,TUL,.194
3,4,22,4,2B,56,.339,ARK,.274
3,11,20,14,3B,42,.279,ARK,.221
1,3,12,0,1B,24,.340,MID,.250
1,9,11,21,OF,47,.283,FRI,.248
0,0,0,0,C,0,.167,FRI,.167
3,8,9,18,OF,29,.274,TUL,.207
0,0,0,0,2B,0,1.000,SA,1.000
0,0,0,0,P,0,.167,TUL,.000
1,7,12,5,OF,23,.323,NWA,.262
0,0,0,0,P,0,.111,SPR,.111
0,0,0,0,P,0,--,SA,--
0,0,0,0,P,0,--,FRI,--
1,10,17,1,3B,40,.337,FRI,.279
0,0,0,0,C,0,.400,FRI,.250
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,.167,TUL,.167
0,1,0,0,C,0,.200,MID,.111
0,2,7,15,RF,26,.333,NWA,.244
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,--,FRI,--
1,4,10,1,DH,22,.306,SA,.238
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,--,SPR,--
0,1,0,0,SS,2,.182,ARK,.182
0,1,1,0,3B,0,.250,SPR,.172
3,7,17,7,OF,32,.323,SPR,.258
0,0,0,0,1B,0,.250,FRI,.250
0,0,0,0,P,0,.000,SA,.000
1,1,20,23,CF,55,.399,CC,.297
0,1,2,0,3B,6,.321,MID,.240
2,8,5,0,C,22,.285,SA,.246
0,0,0,0,P,0,.250,SPR,.250
1,0,0,1,2B,1,.133,SPR,.107
0,0,0,0,P,0,--,SPR,--
1,0,1,0,C,1,.120,SPR,.087
0,3,8,5,2B,19,.354,FRI,.306
0,2,1,0,DH,3,.170,NWA,.154
0,0,0,0,P,0,--,SPR,--
0,0,0,0,P,0,.000,SA,.000
1,2,9,9,CF,9,.305,TUL,.236
0,0,0,0,P,0,.167,SPR,.000
5,11,20,1,C,60,.333,CC,.277
0,1,5,0,3B,11,.322,CC,.238
6,5,26,17,OF,54,.305,MID,.237
0,0,0,0,P,0,.000,TUL,.000
0,0,0,0,P,0,.000,SA,.000
2,8,13,18,LF,35,.431,SPR,.320
0,0,0,0,P,0,.000,SA,.000
0,0,0,0,P,0,.000,SA,.000
0,3,4,1,DH,10,.295,CC,.247
1,12,16,11,SS,36,.353,SPR,.231
4,2,17,4,C,47,.313,TUL,.236
3,4,12,8,2B,36,.309,SPR,.254
0,0,0,0,P,1,.250,SPR,.250
0,0,0,0,P,0,.000,SPR,.000
1,7,6,3,C,17,.314,NWA,.286
4,7,12,13,3B,51,.296,TUL,.218
0,0,1,0,3B,0,.429,SA,.200
0,0,0,0,P,0,--,FRI,--
1,0,5,3,LF,14,.322,ARK,.284
0,0,0,0,P,0,--,SPR,--
1,0,8,3,OF,19,.371,ARK,.311
0,0,0,0,P,0,--,SPR,--
2,11,19,13,SS,36,.331,TUL,.267
2,7,20,0,OF,42,.278,CC,.203
0,0,0,0,C,0,.000,SA,.000
0,0,0,0,P,0,--,TUL,--
4,6,19,19,SS,34,.326,MID,.237
4,3,10,14,SS,28,.298,ARK,.252
0,0,0,0,P,0,.000,TUL,.000
0,0,0,0,P,0,.000,SPR,.000
0,3,6,1,SS,12,.310,CC,.278
0,0,1,7,C,4,.320,SPR,.292
1,3,17,6,CF,19,.314,CC,.238
0,0,0,0,P,0,--,SA,--
0,0,0,0,P,0,--,SA,--
0,1,1,0,C,0,.182,SPR,.182
0,0,0,1,C,4,.241,ARK,.154
5,3,23,59,OF,41,.348,SA,.266
0,1,0,0,P,0,.000,TUL,.000
3,15,25,14,SS,36,.312,NWA,.250
2,7,8,15,3B,13,.322,FRI,.236
2,2,21,29,CF,35,.396,SA,.316
1,7,17,6,1B,87,.324,NWA,.222
0,0,1,0,P,0,.333,TUL,.333
0,0,1,0,OF,0,.219,NWA,.194
0,0,0,0,P,0,--,TUL,--
3,5,4,3,2B,16,.284,SPR,.250
1,7,17,2,3B,19,.304,TUL,.240
10,8,25,2,1B,91,.357,FRI,.289
1,2,5,5,LF,16,.331,ARK,.231
4,6,9,3,3B,26,.273,MID,.221
0,0,0,0,P,0,.000,TUL,.000
1,0,4,3,CF,16,.293,FRI,.205
0,0,0,0,P,0,.000,SA,.000
0,0,0,0,P,0,.000,TUL,.000
0,0,0,0,P,0,.000,SA,.000
0,8,6,0,C,21,.285,MID,.214
0,2,2,1,3B,9,.305,FRI,.233
0,3,4,9,CF,10,.315,TUL,.228
0,0,0,0,P,0,.000,TUL,.000
2,7,24,2,3B,61,.295,SA,.259
1,5,18,1,C,36,.348,CC,.304
3,11,36,0,OF,52,.298,FRI,.263
1,8,13,0,C,25,.268,NWA,.221
0,4,4,5,SS,15,.286,FRI,.259
1,1,7,2,OF,19,.371,NWA,.301
0,0,1,2,2B,8,.500,CC,.455
1,0,1,0,CF,1,.267,FRI,.231
1,1,0,4,3B,2,.333,SA,.195
4,13,19,8,C,43,.290,FRI,.264
0,0,0,0,P,0,--,SPR,--
0,0,0,0,P,0,.000,SA,.000
4,8,20,4,1B,57,.372,SA,.296
0,0,0,0,P,0,.200,TUL,.200
3,8,29,3,1B,51,.452,MID,.350
3,10,27,9,RF,64,.306,ARK,.256
0,0,0,0,P,2,.250,SA,.250
1,1,2,0,LF,5,.289,TUL,.262
3,5,18,11,1B,81,.376,SPR,.248
2,12,13,4,DH,46,.331,ARK,.261
0,0,0,0,LF,0,.182,FRI,.182
0,1,3,0,1B,3,.500,FRI,.500
6,20,31,16,3B,89,.366,SPR,.279
3,4,11,1,C,32,.282,MID,.191
7,14,24,3,3B,68,.318,CC,.260
0,0,0,0,P,0,--,SPR,--
0,0,2,0,C,6,.200,MID,.119
2,10,29,20,OF,51,.320,MID,.285
2,4,9,13,2B,32,.289,SA,.239
0,0,0,0,P,0,.000,SPR,.000
1,0,0,1,CF,2,.087,CC,.048
0,0,0,3,LF,1,.304,NWA,.158
0,0,0,0,P,0,--,TUL,--
3,5,17,0,C,28,.303,ARK,.241
1,0,1,0,C,4,.269,CC,.250
0,0,0,0,3B,0,.250,SA,.000
