ORtg,GS,GmSc,TS%,USG%,STL%,BLK%
112,0,9.1,.574,22.8,0.0,0.0
140,0,14.5,.654,25.4,0.0,6.2
0,0,-0.8,.000,10.7,0.0,0.0
0,0,-0.8,.000,13.2,0.0,0.0
109,0,1.2,.387,23.4,0.0,0.0
157,0,10.5,.732,19.8,0.0,3.4
115,0,3.1,.375,18.2,0.0,3.6
69,0,-0.3,.532,11.3,0.0,0.0
150,0,4.4,1.064,12.8,0.0,0.0
152,0,5.8,.581,24.0,0.0,0.0
99,0,4.6,.500,13.6,0.0,8.0
 ,0,0.0, ,0.0,0.0,0.0
300,0,1.9,1.500,6.9,0.0,0.0
85,0,0.5,.333,16.1,0.0,0.0
163,0,6.8,.678,19.1,0.0,0.0
0,0,-1.1,.000,30.5,0.0,0.0
95,0,2.8,.515,22.1,0.0,7.3
76,0,2.9,.383,31.4,3.1,3.4
117,0,6.2,.800,35.7,7.2,9.7
71,0,0.5,.387,17.6,0.0,5.6
142,0,7.5,.571,19.3,0.0,0.0
0,0,-1.7,.000,39.8,0.0,0.0
77,0,1.7,.500,21.8,0.0,4.4
0,0,-1.6,.000,26.2,0.0,0.0
146,0,10.4,.712,20.1,3.3,8.0
108,0,2.5,.694,26.9,0.0,10.5
148,0,4.3,.615,26.3,0.0,0.0
133,0,17.0,.630,32.6,0.0,7.5
59,0,0.8,1.000,14.6,5.7,7.0
63,0,-0.1,.000,41.5,0.0,0.0
107,0,1.0,.500,39.7,0.0,0.0
200,0,1.1,1.000,10.5,0.0,0.0
74,0,0.7,.444,22.5,0.0,3.4
132,0,15.1,.705,23.5,3.8,0.0
101,0,3.6,.643,22.1,0.0,0.0
134,1,4.1,.798,22.4,0.0,7.4
85,0,1.7,.347,14.4,0.0,5.3
97,0,2.3,.564,46.0,0.0,0.0
138,0,4.2,.644,20.6,0.0,7.2
