Date,Opponent,Score,g,a,pts,up,dn,gb,to,ct,fo,sh,sh%,sog,sog%
Mar 12,at Lasell,"W, 12-6",0,0,0,0,0,1,1,0,0-0,0,-,0,-
Mar 17,at Colby,"L, 13-3",0,0,0,0,0,1,0,0,0-0,0,-,0,-
Mar 19,at Castleton,"W, 9-8",0,0,0,0,0,0,0,1,0-0,0,-,0,-
Mar 22,at Mass. Maritime,"W, 11-7",0,0,0,0,0,0,0,0,0-0,0,-,0,-
Mar 24,at Babson,"L, 10-7",1,0,1,0,0,7,4,2,0-0,2,50.0,1,50.0
Mar 30,at Clark,"L, 13-7",0,0,0,0,0,0,0,1,0-0,0,-,0,-
Apr 2,at Western Connecticut,"W, 5-2",0,0,0,0,0,3,0,0,0-0,0,-,0,-
Apr 7,at Curry,"W, 13-11",1,0,1,0,0,0,0,0,0-0,1,100.0,1,100.0
Apr 9,at UMass Dartmouth,"L, 13-10",0,0,0,0,0,2,0,0,0-0,0,-,0,-
Apr 16,Salem State,"W, 5-4",0,0,0,0,0,2,0,1,0-0,1,0.0,1,100.0
Apr 20,at Southern Maine,"L, 9-8",0,0,0,0,0,4,0,0,0-0,0,-,0,-
Apr 25,UMass Boston,"W, 15-5",1,0,1,0,0,2,1,3,0-0,1,100.0,1,100.0
Apr 27,at Keene State,"L, 18-9",0,0,0,0,0,0,0,0,0-0,0,-,0,-
Apr 30,Eastern Connecticut,"L, 13-9",0,0,0,0,0,3,1,0,0-0,0,-,0,-
May 3,at Eastern Connecticut,"L, 12-5",0,0,0,0,0,0,0,0,0-0,0,-,0,-
