SO,AVG,AB,OBP,G,2B,Player,CS
24,0.238,105,0.336,29,5,J Henry,1
49,0.27,204,0.355,53,13,J Whitaker,3
16,0.122,41,0.28,14,1,K Von Tungeln,1
96,0.286,493,0.356,122,19,T Jankowski,14
83,0.265,359,0.349,96,14,D Kandilas,5
32,0.194,144,0.295,51,6,T Hairgrove,0
134,0.251,407,0.323,111,15,J Duran,6
77,0.251,251,0.319,63,20,Y Rodriguez,3
82,0.287,258,0.337,68,13,J Garcia,3
11,0.188,32,0.316,17,0,C Ellison,1
121,0.258,504,0.304,129,32,K Waldrop,8
116,0.275,396,0.381,115,32,C Epps,8
12,0.211,57,0.297,16,2,R Richardson,1
85,0.258,283,0.358,80,16,J Blash,8
93,0.3,476,0.368,128,21,T Belza,7
45,0.326,298,0.384,75,18,P Tucker,0
65,0.238,189,0.279,52,7,J Crousset,2
140,0.296,477,0.36,125,29,S Schebler,5
7,0.172,29,0.314,8,0,J Brodin,0
58,0.259,297,0.294,71,14,D Nick,1
16,0.3,70,0.372,18,4,C Adamson,1
76,0.271,336,0.386,96,16,J Silva,13
6,0.321,53,0.438,15,3,A Eaton,1
0,0.0,2,0.333,1,0,A Pagan,0
88,0.337,407,0.403,112,22,Z Borenstein,5
7,0.0,18,0.053,5,0,M Kemp,1
12,0.302,63,0.333,16,3,D Gulbransen,0
