GIDP,AB,SF,OPS,R,G,SH,SO,Player,AVG
2,105,0,.781,25,34,0,26,S Woodward,.219
0,0,0,--,0,1,0,0,J Carlin,--
4,295,2,.853,44,70,0,97,S Schebler,.285
3,127,0,.757,20,38,0,19,S Diaz,.299
5,278,1,.776,38,68,1,65,K Waldrop,.273
4,219,3,.897,38,61,1,52,S Cardullo,.288
0,8,0,.819,1,3,0,3,M Jensen,.375
1,27,0,.789,3,7,0,5,J Rogers,.296
0,44,0,.572,3,12,0,10,R Ozuna,.227
0,28,0,.833,3,8,0,11,B Dean,.286
2,27,0,.435,2,9,0,9,B Tanner,.111
0,15,0,.800,2,4,0,2,C O'Brien,.267
3,33,1,.829,6,8,0,6,M Antonio,.303
9,224,3,.867,33,56,0,43,D Mateo,.348
0,123,0,.681,19,36,3,24,Y Roja,.276
6,290,1,.987,64,63,0,46,T Lindsey,.362
0,41,0,.892,7,16,0,9,M De Leon,.317
6,195,0,.835,32,53,0,46,R Aguila,.256
3,113,1,.842,26,32,1,26,J Boudreaux,.265
1,43,0,.547,4,13,0,10,R Jenkins,.209
2,38,1,.408,5,13,1,11,J Puentes,.158
3,69,0,.749,10,29,2,6,R Pacione,.333
6,159,0,.911,33,43,0,60,W Swanner,.264
5,189,0,.521,19,49,1,43,A Martinez,.222
2,151,0,.790,31,45,0,55,J Hunt,.272
7,174,1,.602,30,46,2,44,D Sandford,.247
10,260,3,.760,52,70,3,61,D Herbek,.262
7,228,2,.801,40,63,0,38,M Earley,.307
0,58,0,.774,12,15,0,18,D Thomas,.328
3,126,2,.513,18,43,1,44,A Ray,.175
3,219,0,.772,47,61,0,74,J Arias,.251
0,18,0,.436,1,4,0,5,J Winker,.111
7,171,2,.740,25,43,3,19,L Piterson,.298
0,6,0,.833,2,2,0,0,J Bandy,.333
2,62,1,.827,9,17,0,11,N DelGuidice,.355
1,92,1,.881,16,26,0,12,M Liberto,.348
3,262,5,.720,41,68,0,71,P Berberet,.240
0,9,0,.000,0,3,0,6,W Moss,.000
6,176,1,.789,35,45,1,26,A Aguilar,.307
2,133,0,.742,20,42,2,39,T Roberts,.263
8,207,3,.778,30,56,0,63,J Jacquot,.280
7,262,3,.874,41,63,0,73,R Maddox,.282
0,77,1,.637,12,25,0,19,E Morales,.260
0,27,0,.968,5,7,1,8,J Paciorek,.259
3,96,3,.865,17,29,1,28,S Dickinson,.302
3,189,2,1.005,33,48,1,44,O Dickson,.333
2,246,2,.726,43,60,2,68,C Ellison,.248
1,248,1,.946,51,61,4,44,D Kandilas,.327
1,60,0,.623,8,16,1,9,A Muenster,.200
1,150,0,.821,30,41,3,43,J Silva,.293
3,69,1,1.149,16,19,0,9,B Smith,.362
2,128,6,.825,22,38,4,28,M Medina,.297
1,142,0,.943,28,36,1,26,C Elder,.289
1,196,1,.828,47,50,0,74,J Baldwin,.250
7,330,0,.691,47,74,2,91,Y Rivera,.248
5,201,2,.638,22,53,0,60,J Yan,.249
0,199,0,.572,24,54,0,81,J Bianco,.206
1,246,4,.814,38,60,0,55,N Cuevas,.285
0,5,0,1.100,1,1,0,1,D Shines,.400
2,143,1,1.000,30,34,0,34,C Cron,.308
3,63,1,.547,4,28,1,17,J Ciriaco,.254
1,13,0,.497,2,4,0,2,D Elliot,.154
0,33,0,.697,5,8,0,6,J Schaus,.273
2,157,1,.689,26,46,2,51,R Thorpe,.242
0,58,0,1.203,14,15,0,11,D Read,.397
4,233,3,.880,43,62,1,59,R Espy,.318
3,221,2,.755,23,57,1,67,M Threlkeld,.271
