AB,SLG,GIDP,RBI,SB,Player,CS,3B,SH,OPS
112,.616,2,15,3,R Garth,2,5,0,1.046
170,.412,1,21,7,V Arce,5,0,1,.817
133,.526,1,27,1,K Gergel,1,2,0,.903
48,.438,1,6,0,J Alonso,0,0,0,.813
126,.333,0,11,5,T Turner,3,3,2,.609
36,.222,0,5,0,J Rivera,0,0,0,.447
25,.400,0,4,0,D Sutton III,0,0,0,.757
165,.412,2,22,3,M Ryan,0,2,0,.742
21,.476,1,6,0,M Nickeas,0,0,0,.876
11,.455,0,3,0,J Nelson,0,1,0,.812
62,.258,6,5,5,B Groth,1,1,0,.625
133,.436,1,23,12,C Stanton,4,1,2,.789
36,.056,1,0,1,J Luster,0,0,1,.206
57,.333,0,7,3,C Avila,0,0,4,.617
25,.600,0,9,1,A Blanco,2,0,1,.970
168,.423,2,29,6,N Yoho,1,5,0,.769
2,.000,0,0,0,K Bone,0,0,0,.333
43,.349,2,6,2,L King,0,0,2,.749
120,.317,3,16,0,J Napoli,2,3,0,.611
2,1.000,0,0,0,J Muyco,0,0,0,1.500
197,.421,4,31,17,O Gonzalez,5,5,0,.786
83,.265,2,5,1,J Blanc,3,1,2,.509
12,1.000,0,4,0,R Eastley,0,0,0,1.714
19,.474,0,3,1,J Westphal,1,1,0,.874
168,.399,3,25,0,N Crouch,0,0,1,.778
112,.393,2,16,7,J Johnson,1,2,2,.780
102,.333,2,17,4,R Mount,1,1,0,.659
110,.464,1,25,7,J Graterol,5,2,0,.910
70,.671,0,17,3,P Hawke,0,1,0,1.177
13,.769,1,4,0,M Gomez,0,0,0,1.240
137,.328,4,13,3,C Steiner,0,0,1,.629
37,.486,0,10,0,D Buller,1,0,0,.945
46,.196,2,3,0,J Lowen,2,0,0,.416
84,.548,1,18,1,C Smith,2,0,0,.956
96,.458,1,14,12,J Howard,2,2,1,.871
9,.889,0,1,1,R Yan,0,1,0,1.489
132,.409,3,15,8,L Rivera,2,4,0,.772
201,.378,4,24,19,A Piper-Jordan,10,7,6,.701
71,.380,1,6,1,B Dennis III,2,0,2,.747
57,.246,2,5,0,O Marrero,0,0,0,.563
76,.395,0,13,2,J Defendis,1,1,0,.740
73,.274,2,10,3,N Rojas,1,1,4,.561
44,.227,0,5,0,D Johnston,3,0,0,.507
22,.364,1,3,1,R Angoma,0,0,0,.668
0,--,0,0,0,M Parejo,0,0,0,--
54,.241,0,5,1,J Thomas-Dotson,0,0,0,.478
114,.395,3,10,4,B Killian,1,2,0,.697
88,.284,2,13,14,M Klug,5,1,1,.691
30,.367,0,3,1,J Aughey,0,0,0,.700
193,.378,1,10,40,A Richardson,6,2,7,.844
189,.370,4,26,8,R Brown,7,5,1,.707
12,.417,0,3,1,R Quinlan,0,0,0,.750
51,.373,2,6,1,R Mendez,0,1,0,.687
7,.286,1,1,0,J Perez,0,0,0,.429
26,.423,1,3,1,G Laird,0,2,0,.699
40,.275,0,4,1,S McKnight,1,0,1,.631
10,.000,0,0,0,D Matranga,0,0,0,.000
114,.254,2,14,4,S Hernandez,5,1,1,.593
1,.000,1,0,0,D Pruitt,0,0,0,.000
16,.563,0,1,3,N Haynes,0,2,0,.931
118,.271,6,9,1,G Rosendo,1,0,1,.587
114,.386,5,18,2,D Ruiz,0,2,1,.695
61,.295,0,5,7,V Heredia,3,1,3,.572
18,.333,2,3,0,P Farina,0,0,0,.733
169,.296,4,19,10,S Schoop,4,0,7,.624
187,.439,6,33,2,J Jimenez,0,3,0,.799
81,.494,1,17,2,M Edwards,4,2,0,.875
9,.000,1,0,0,R Hudson,0,0,0,.000
125,.384,2,22,1,L Bonilla,2,4,3,.692
43,.767,0,10,1,T Festa,0,3,1,1.278
157,.427,4,20,1,R Canzler,5,3,2,.814
65,.369,1,10,3,H Gutierrez,0,0,0,.733
30,.300,0,4,0,B Gunther,0,0,0,.653
12,.167,0,1,0,T Gregorio,0,0,0,.397
113,.327,3,6,0,G Harper,1,1,0,.617
106,.358,0,7,6,D Seara,1,1,3,.643
15,.400,0,2,0,L Merloni,0,0,0,.812
98,.745,2,30,5,J Bianchi,2,4,0,1.229
0,--,0,0,0,J Sanchez,0,0,0,--
14,.500,0,2,1,J Lobaton,0,0,0,1.050
110,.300,4,12,2,A Carvajal,1,1,1,.576
22,.182,0,3,2,R Prettyman,0,0,0,.462
57,.298,2,7,2,H Perez,1,0,1,.652
203,.360,2,15,18,J Vallejo,5,2,2,.724
