SH,CS,SF,OBP,RBI,AB,3B
5,6,0,0.282,7,114,1
0,1,1,0.412,46,200,0
0,1,5,0.366,43,205,0
2,2,0,0.305,6,112,2
0,0,2,0.272,19,165,0
0,0,0,0.0,0,4,0
3,5,1,0.354,10,96,2
2,5,4,0.367,27,189,1
0,3,4,0.378,38,217,0
0,0,0,0.333,10,96,0
2,5,2,0.349,16,138,1
0,2,5,0.352,40,244,5
0,0,0,0.1,0,9,0
0,1,0,0.394,6,76,0
0,1,0,0.361,5,82,0
2,3,2,0.369,21,176,3
0,2,0,0.24,1,21,0
0,2,2,0.325,57,257,0
0,0,5,0.413,42,191,2
3,5,3,0.373,30,176,0
0,4,1,0.362,38,236,1
0,4,0,0.368,25,163,0
3,1,2,0.393,17,175,2
0,0,0,0.143,0,7,0
0,1,2,0.396,27,185,9
1,0,1,0.225,3,35,0
0,1,2,0.322,28,264,0
0,0,2,0.276,12,113,0
2,4,2,0.414,25,168,1
0,2,2,0.352,50,234,1
2,3,0,0.379,30,228,2
2,7,0,0.389,19,182,2
6,4,0,0.321,15,180,1
1,2,1,0.394,15,120,0
1,3,4,0.358,23,224,0
0,0,0,0.2,1,13,0
1,4,3,0.358,31,181,2
1,3,1,0.287,5,114,1
0,1,1,0.345,12,98,0
1,6,5,0.358,50,267,0
2,2,3,0.289,15,151,0
0,0,0,0.4,1,4,0
0,3,0,0.443,19,110,1
7,3,4,0.389,32,178,3
0,1,0,0.35,14,109,0
0,1,1,0.255,8,45,1
2,2,1,0.377,19,131,1
0,1,5,0.305,25,166,2
0,0,0,0.129,0,30,0
0,2,0,0.316,3,69,0
1,3,1,0.401,32,213,3
0,1,0,0.367,7,113,1
1,0,0,0.226,3,48,0
4,0,2,0.317,11,145,0
8,5,3,0.293,16,135,0
5,2,1,0.282,11,125,1
0,2,0,0.296,13,144,0
0,1,0,0.205,12,141,0
0,0,0,0.875,1,5,0
0,0,1,0.371,12,60,1
2,0,0,0.447,5,42,0
0,1,2,0.407,17,102,0
0,2,1,0.261,12,120,1
2,6,0,0.323,24,151,3
2,1,0,0.213,2,56,0
2,5,1,0.374,15,89,1
0,1,1,0.298,8,67,0
0,1,0,0.367,20,112,0
2,0,0,0.392,21,112,2
0,1,0,0.313,22,212,1
1,2,0,0.255,3,90,0
0,2,1,0.316,24,108,1
3,3,0,0.297,13,136,1
0,3,1,0.306,10,102,0
1,1,4,0.299,37,197,4
1,1,0,0.364,11,146,1
2,1,0,0.242,6,85,0
2,7,1,0.297,8,164,1
