Team,R,2B,3B,Pos
STL,34,17,6,OF
NYM,11,3,1,C
TOR,2,0,0,OF
ATL,2,4,0,2B
CLE,4,0,0,C
PIT,47,21,3,OF
LAD,6,4,0,2B
SD,29,9,3,OF
STL,1,1,0,OF
SD,19,10,1,SS
CIN,37,9,2,OF
TB,29,16,4,SS
HOU,28,16,0,OF
CWS,27,17,0,SS
LAA,4,2,0,OF
TOR,21,5,0,OF
NYY,10,4,1,C
TB,14,5,2,SS
NYY,55,13,1,3B
MIN,17,4,0,DH
BOS,7,1,0,C
WAS,37,15,0,OF
BAL,24,6,1,OF
DET,3,1,0,3B
LAA,2,1,0,3B
TB,0,1,0,OF
PIT,2,3,0,1B
CLE,35,17,1,1B
MIL,57,17,2,OF
MIL,6,3,0,OF
SD,10,1,2,OF
SEA,33,22,3,OF
ARI,0,1,0,1B
OAK,31,16,1,3B
SF,36,13,3,OF
MIL,6,9,1,SS
TB,23,8,2,DH
BOS,15,5,5,OF
LAD,51,17,1,OF
BOS,19,9,1,C
ARI,16,7,4,3B
CLE,3,2,0,OF
BOS,35,15,0,2B
BAL,5,2,0,SS
BOS,1,0,0,SS
NYY,34,15,0,OF
CWS,30,15,0,1B
LAD,45,17,2,2B
ATL,20,5,0,3B
LAA,6,2,1,OF
ATL,7,4,0,OF
MIL,15,11,2,SS
PHI,10,5,1,OF
MIN,72,27,3,2B
TOR,11,4,0,C
CWS,8,2,0,2B
CIN,61,29,1,3B
KC,44,17,1,3B
PIT,2,0,0,OF
CLE,15,10,0,C
ATL,35,17,3,2B
NYM,5,2,0,OF
MIA,3,1,0,C
SEA,5,2,0,OF
TB,42,21,0,3B
NYY,47,15,1,3B
BAL,23,6,3,2B
TEX,25,12,0,OF
BAL,11,7,1,1B
WAS,22,12,1,3B
CLE,38,29,0,OF
HOU,1,0,0,OF
CHC,30,17,0,SS
MIN,1,1,0,2B
OAK,39,20,2,2B
CHC,0,0,0,2B
SF,54,23,2,2B
LAA,11,3,0,2B
ARI,38,14,4,SS
MIN,10,3,1,OF
PIT,3,0,1,OF
TB,24,11,0,OF
NYM,3,0,0,3B
ATL,9,4,0,OF
HOU,11,4,0,SS
SEA,2,1,0,SS
LAA,39,16,3,2B
CIN,53,17,2,1B
TOR,26,13,0,3B
BOS,32,16,4,3B
WAS,30,11,1,1B
SD,3,1,0,C
SD,28,19,2,3B
DET,57,24,4,2B
SF,2,2,0,C
KC,2,1,1,3B
HOU,6,2,0,OF
CWS,41,17,1,OF
CIN,8,4,0,2B
CHC,5,2,0,C
BAL,38,13,2,3B
CIN,5,2,0,3B
ARI,38,17,7,OF
MIA,26,14,1,3B
TB,8,3,1,2B
KC,50,19,4,1B
BAL,10,7,1,C
ARI,40,17,2,OF
SF,14,6,2,C
OAK,3,0,0,OF
STL,22,11,2,1B
MIA,4,4,0,3B
NYM,6,0,0,C
ATL,12,2,0,2B
LAD,36,11,0,C
CHC,30,9,1,SS
WAS,44,16,1,2B
CHC,6,1,0,OF
MIL,18,8,2,2B
TOR,36,17,0,SS
TEX,35,17,1,SS
MIN,21,3,3,OF
OAK,27,7,1,2B
COL,47,17,1,OF
LAD,44,14,1,SS
LAD,13,9,0,OF
SD,23,7,2,3B
NYM,22,6,0,OF
TB,3,0,0,OF
SD,47,22,2,OF
STL,1,1,0,SS
CIN,44,6,3,OF
BOS,29,13,1,3B
TOR,37,18,0,2B
PIT,1,1,0,OF
PIT,0,0,0,3B
TEX,27,11,5,2B
WAS,46,17,1,SS
DET,1,0,0,SS
STL,25,17,1,C
TOR,10,6,0,OF
CHC,51,16,4,3B
MIL,41,19,1,OF
NYY,46,21,0,1B
SD,42,21,1,C
BOS,5,2,0,OF
CLE,0,0,0,1B
COL,17,5,3,C
TOR,50,16,0,1B
MIL,7,0,1,SS
HOU,53,20,0,2B
COL,10,4,0,2B
STL,43,21,1,SS
ATL,2,1,0,OF
OAK,3,0,1,SS
PIT,39,20,0,3B
MIN,28,10,5,SS
TB,4,3,0,C
COL,13,1,2,OF
MIN,9,5,0,3B
BAL,7,2,0,SS
WAS,9,10,0,OF
MIA,1,1,1,SS
CWS,5,1,0,2B
ARI,62,24,1,1B
COL,8,1,2,2B
TEX,8,5,0,OF
SEA,47,22,0,3B
TOR,20,8,2,2B
ATL,8,7,1,3B
MIN,17,12,3,SS
DET,1,0,0,OF
OAK,30,9,1,1B
WAS,9,4,2,2B
BAL,1,1,0,C
HOU,7,2,0,OF
CHC,1,0,0,3B
OAK,4,1,0,OF
DET,38,15,4,OF
LAD,5,3,1,OF
PIT,0,0,0,OF
MIN,2,1,0,C
KC,0,0,0,SS
CHC,5,0,0,2B
TEX,12,1,0,OF
BOS,53,7,1,SS
CLE,24,5,0,2B
ATL,7,4,2,OF
BAL,16,4,1,OF
BOS,2,0,0,OF
MIL,0,1,0,C
TB,38,19,1,2B
MIA,27,14,0,OF
OAK,41,17,1,1B
ATL,42,11,1,OF
NYY,1,1,1,SS
MIA,1,1,0,C
LAD,16,7,2,SS
TB,40,19,10,OF
ATL,48,15,2,SS
NYM,46,24,0,1B
PHI,36,17,1,3B
LAA,0,0,0,OF
CIN,2,1,0,OF
PHI,22,13,2,3B
TOR,4,2,0,C
TEX,43,17,2,OF
PIT,12,4,1,2B
ARI,3,1,0,C
NYM,33,10,4,OF
WAS,17,2,0,OF
SF,47,19,4,SS
MIN,39,20,2,1B
MIL,41,20,0,1B
ATL,26,16,1,C
LAD,8,4,0,C
CLE,12,5,0,SS
LAD,20,7,1,OF
CIN,14,8,0,C
BOS,16,3,0,C
CWS,53,15,3,1B
PHI,4,5,0,OF
CWS,6,5,0,OF
CLE,19,6,0,SS
PIT,8,7,0,C
WAS,0,1,0,OF
CLE,19,10,1,3B
LAD,36,9,4,OF
TB,23,9,1,OF
LAD,36,20,1,3B
LAA,59,14,0,1B
WAS,44,17,1,SS
LAD,19,11,2,OF
LAA,17,8,0,1B
MIL,27,9,1,C
LAD,56,25,0,1B
CIN,2,1,1,3B
PIT,0,0,0,SS
SF,1,1,0,2B
COL,22,9,3,1B
PHI,48,13,6,OF
PIT,33,14,2,SS
CHC,60,14,4,OF
MIN,13,12,1,SS
COL,19,11,1,C
SEA,3,0,0,C
COL,55,24,4,3B
NYM,50,18,1,OF
OAK,38,17,3,SS
PIT,49,18,1,OF
BOS,6,1,0,OF
NYM,34,14,0,SS
ARI,23,10,3,OF
MIL,48,23,4,OF
KC,52,16,2,SS
CIN,44,11,1,2B
CHC,35,17,1,OF
CLE,6,4,0,1B
STL,25,8,3,OF
DET,4,1,0,SS
CIN,28,10,1,SS
SF,5,1,0,3B
NYM,5,2,0,C
SEA,48,24,1,2B
TB,5,5,0,C
MIA,1,1,0,C
HOU,43,10,0,3B
WAS,0,0,0,SS
LAA,5,0,0,2B
PHI,37,11,3,SS
CLE,44,18,1,1B
OAK,1,0,0,SS
BOS,42,21,3,SS
CWS,10,11,1,3B
CIN,12,11,0,OF
WAS,9,5,0,2B
MIN,48,24,3,3B
MIA,13,6,0,2B
TB,7,1,0,OF
NYM,24,15,0,SS
BOS,2,0,0,1B
LAD,2,1,0,C
PIT,38,14,0,3B
WAS,7,1,0,C
MIA,23,0,3,OF
MIN,6,0,0,OF
CHC,0,0,0,C
SEA,23,10,0,C
NYM,13,6,0,OF
TEX,1,0,0,C
CHC,26,16,1,OF
MIN,5,1,1,OF
TEX,32,16,0,1B
HOU,24,14,0,SS
LAA,6,0,0,3B
COL,35,15,3,C
ARI,13,2,0,SS
TOR,39,13,0,1B
CIN,1,0,0,OF
MIN,20,4,1,OF
SEA,9,3,0,OF
OAK,6,0,1,OF
KC,19,5,4,OF
KC,32,13,0,OF
DET,27,13,0,1B
PHI,32,21,3,2B
NYY,3,3,0,OF
CIN,2,1,1,C
MIA,5,2,1,2B
SD,1,2,0,1B
CWS,9,0,1,SS
ARI,7,5,0,C
DET,27,14,2,SS
