BLK%,DRB%,AST%,ORB%,MP
0.0,20.3,0.0,8.1,14:48
0.0,40.0,0.0,0.0,13:02
4.5,19.5,0.0,0.0,12:59
0.0,0.0,0.0,0.0,4:18
7.9,9.5,0.0,13.8,9:09
4.6,15.4,10.7,12.8,15:36
0.0,0.0,0.0,0.0,0:40
5.4,22.2,8.5,9.9,22:04
0.0,15.4,0.0,6.7,16:23
2.4,7.4,0.0,15.9,27:28
0.0,0.0,0.0,0.0,4:17
9.4,20.7,8.7,7.4,15:27
0.0,30.9,24.2,6.9,13:18
8.4,24.3,0.0,0.0,10:25
0.0,22.6,0.0,17.9,12:45
0.0,7.6,0.0,13.3,15:42
0.0,14.2,0.0,24.7,9:58
0.0,0.0,0.0,0.0,4:51
3.7,35.8,13.3,21.0,24:43
7.1,10.3,0.0,15.4,21:45
0.0,23.6,0.0,0.0,16:15
9.7,0.0,15.5,13.1,8:09
0.0,0.0,0.0,6.0,16:42
0.0,13.9,0.0,28.4,17:14
0.0,0.0,0.0,33.1,3:18
4.7,0.0,23.9,23.2,17:58
