GIDP,RBI,SH,H
2,21,0,26
5,15,1,28
2,20,0,22
1,25,0,61
0,0,0,0
3,15,1,50
0,3,0,7
1,25,0,44
6,19,2,55
2,17,1,34
1,5,0,17
0,18,0,35
2,21,0,33
4,14,3,43
3,24,0,34
2,15,2,51
8,25,3,66
9,32,0,80
3,3,0,7
0,7,0,19
3,21,0,43
8,32,0,53
1,7,0,24
2,9,1,34
5,17,1,34
2,34,0,46
0,4,1,11
0,1,0,3
3,1,0,8
9,33,1,56
7,9,1,24
1,2,0,13
4,47,0,64
0,12,0,16
3,34,2,65
1,23,1,50
2,8,2,21
2,21,0,43
5,12,3,41
2,2,0,18
1,1,1,3
2,6,1,25
2,29,3,46
0,5,1,6
3,8,0,16
5,49,0,56
5,33,0,66
1,17,0,37
2,28,0,38
1,16,4,47
0,2,1,14
6,33,0,45
3,31,1,59
4,37,0,69
4,26,0,59
0,28,0,55
1,13,0,36
5,18,5,33
5,42,0,68
0,2,1,2
0,5,0,9
2,26,0,36
2,6,0,25
5,7,0,21
7,41,1,76
3,20,5,51
7,40,0,70
4,14,0,24
2,25,1,41
4,44,0,64
3,27,0,55
1,18,0,30
0,9,0,14
1,25,1,50
0,1,0,5
2,26,0,32
10,45,0,84
0,2,0,3
5,32,0,54
5,12,0,38
2,16,1,27
4,31,1,44
1,8,0,20
2,21,2,40
3,13,0,17
2,35,3,49
4,18,3,34
2,8,3,32
3,11,1,28
3,36,0,67
0,11,0,23
3,14,1,27
0,1,0,5
0,0,0,0
0,1,0,2
1,4,1,9
