MP,G,ORtg,STL%,Opp
23:00,1,86,2.2,BOS
7:00,35,0,0.0,CLE
14:00,50,120,0.0,POR
15:00,27,115,0.0,PHI
18:00,3,98,2.7,DAL
1:00,38, ,0.0,PHI
22:00,43,94,0.0,UTA
20:00,7,121,4.6,SEA
19:00,46,86,2.9,GSW
35:00,32,125,6.3,BOS
6:00,37,44,0.0,MIA
1:00,20, ,0.0,MIL
6:00,15,87,0.0,CLE
13:00,41,74,0.0,DEN
9:00,26,15,0.0,ATL
8:00,10,0,0.0,MIN
5:00,56,218,0.0,CHI
13:00,44,53,0.0,PHO
10:00,47,63,0.0,CHH
23:00,5,113,0.0,LAC
20:00,25,121,4.8,DAL
33:00,6,93,4.9,DEN
16:00,49,54,0.0,ORL
39:00,9,130,2.5,CHH
7:00,58,61,0.0,CHH
25:00,45,138,0.0,LAL
16:00,51,141,0.0,SAC
9:00,59,68,11.1,CLE
10:00,12,107,0.0,PHI
