2B,POS,SLG,HR,AVG,CS,Team,AB,RBI,OPS
9,1B,.464,7,.283,0,AUB,166,29,0.822
1,C,.269,0,.231,0,BAT,26,2,0.555
7,SS,.362,0,.321,8,JAM,224,27,0.761
1,1B,.400,0,.300,0,BRK,10,0,0.817
1,SS,.429,0,.286,0,BAT,7,0,0.714
2,2B,.517,2,.337,0,SC,89,18,0.909
10,3B,.384,4,.233,1,VER,146,21,0.635
3,C,.400,3,.200,1,MV,60,5,0.714
12,2B,.381,4,.278,0,BRK,273,34,0.71
7,1B,.381,3,.229,0,BAT,118,19,0.733
7,3B,.332,5,.213,2,ABD,202,27,0.608
10,3B,.315,2,.243,1,BAT,222,18,0.603
5,C,.214,0,.176,2,VER,131,6,0.453
4,1B,.350,4,.197,1,SC,117,13,0.634
6,C,.408,3,.262,0,SI,103,13,0.695
9,2B,.412,1,.321,1,SC,131,15,0.829
9,SS,.296,1,.226,4,LOW,230,20,0.607
9,C,.315,2,.201,2,CT,149,14,0.587
5,1B,.321,1,.226,0,LOW,84,9,0.624
0,SS,.250,1,.143,1,JAM,28,6,0.444
3,2B,.316,0,.237,0,BAT,38,10,0.627
13,3B,.321,2,.217,5,HV,221,22,0.631
0,2B,.600,0,.600,0,SI,5,1,1.2
1,C,.111,0,.056,0,VER,18,1,0.167
4,C,.370,2,.233,0,LOW,73,4,0.661
3,SS,.250,0,.214,0,BRK,84,6,0.566
0,C,.200,0,.200,0,BAT,10,1,0.533
0,C,.143,0,.143,1,CT,7,0,0.597
1,C,.375,0,.250,0,LOW,8,1,0.837
7,SS,.242,0,.183,0,AUB,153,8,0.496
2,SS,.271,0,.243,0,SI,70,6,0.574
5,C,.333,1,.261,0,LOW,111,18,0.677
10,2B,.333,0,.258,1,MV,186,13,0.663
2,2B,.266,1,.220,1,HV,109,9,0.533
18,3B,.411,2,.297,4,BAT,209,30,0.769
5,3B,.337,3,.253,0,SI,166,16,0.698
2,SS,.313,0,.188,0,SC,16,0,0.59
13,2B,.355,2,.249,1,SC,197,23,0.7
0,C,.240,2,.120,0,ABD,50,8,0.46
1,2B,.228,0,.196,1,WIL,92,3,0.496
1,3B,.133,0,.100,1,JAM,30,2,0.339
0,C,.083,0,.083,0,ABD,24,2,0.203
2,3B,.238,0,.190,0,BAT,42,3,0.477
3,C,.202,0,.170,0,BRK,94,8,0.445
5,3B,.305,3,.224,2,AUB,223,19,0.592
2,SS,.333,0,.200,0,ABD,15,2,0.583
2,C,.262,0,.214,0,JAM,42,6,0.545
3,C,.485,1,.303,0,TRI,33,2,0.88
3,C,.300,0,.250,1,JAM,60,4,0.597
8,C,.413,5,.277,1,JAM,184,34,0.751
2,C,.185,0,.167,0,LOW,108,3,0.425
9,2B,.320,2,.253,6,JAM,225,25,0.679
14,1B,.335,3,.206,3,VER,194,15,0.593
2,C,.190,0,.155,0,WIL,58,5,0.461
1,3B,.245,0,.224,1,JAM,49,9,0.485
6,C,.333,0,.267,2,HV,150,13,0.644
0,C,.111,0,.111,0,ABD,18,1,0.222
4,SS,.206,0,.177,2,BAT,141,8,0.483
0,2B,.333,0,.333,0,SI,3,0,0.667
6,SS,.265,0,.223,7,ABD,238,13,0.553
0,C,.200,0,.200,0,WIL,20,2,0.533
3,2B,.260,0,.219,1,VER,73,5,0.59
0,C,.000,0,.000,0,TRI,2,0,0.0
0,C,.000,0,.000,0,BAT,6,0,0.143
1,3B,.381,1,.190,0,ABD,21,4,0.608
4,2B,.417,0,.333,0,LOW,48,4,0.827
13,SS,.366,2,.265,3,SC,268,27,0.703
0,2B,.000,0,.000,0,CT,4,0,0.0
1,C,.400,0,.300,0,SC,10,2,0.733
0,2B,.167,0,.167,0,MV,6,0,0.333
3,C,.280,0,.244,0,TRI,82,5,0.624
4,2B,.280,2,.200,0,AUB,150,16,0.558
0,C,.125,0,.125,0,VER,16,2,0.388
13,2B,.412,3,.261,3,WIL,211,23,0.695
8,1B,.329,2,.258,1,AUB,252,26,0.604
7,C,.273,0,.235,1,ABD,187,21,0.557
19,1B,.427,4,.301,2,BAT,246,40,0.794
3,SS,.220,1,.173,2,SI,127,12,0.447
14,3B,.451,6,.266,0,SI,184,27,0.827
12,3B,.368,1,.269,3,LOW,171,20,0.735
13,1B,.292,1,.215,2,HV,233,29,0.538
1,2B,.196,1,.130,1,ABD,92,3,0.432
0,C,.273,0,.273,1,ABD,11,0,0.657
