H,G,Team,SO
5,5,FRI,4
15,24,MID,11
54,63,WIC,25
26,24,CC,14
82,93,FRI,95
141,123,ARK,105
0,3,SPR,2
67,83,TUL,66
3,5,WIC,4
1,3,TUL,0
0,12,CC,0
35,60,CC,33
0,2,CC,0
10,15,SA,4
4,3,FRI,1
93,91,FRI,56
32,50,WIC,40
57,60,ARK,37
123,112,CC,36
1,4,CC,1
0,10,SPR,1
22,32,SPR,7
43,28,MID,23
31,45,CC,34
32,27,CC,6
1,19,TUL,2
27,25,FRI,8
114,107,SA,66
28,39,FRI,22
64,50,MID,39
33,42,SA,28
118,129,SPR,98
89,96,FRI,93
27,24,MID,9
1,8,SPR,3
25,35,ARK,46
0,3,TUL,1
41,55,FRI,43
0,17,TUL,0
39,74,CC,28
72,92,TUL,60
2,5,SPR,6
166,138,WIC,96
73,93,ARK,81
11,12,MID,12
46,42,FRI,32
103,110,SA,91
13,10,SPR,6
148,137,WIC,112
0,1,CC,1
123,97,CC,44
1,4,SA,4
1,1,CC,0
26,39,CC,43
0,2,SPR,0
3,10,TUL,3
151,134,ARK,108
22,25,FRI,9
131,118,ARK,103
18,29,WIC,20
0,17,SPR,0
141,126,MID,109
0,6,CC,0
34,55,WIC,29
30,40,SPR,41
40,62,SA,64
19,27,TUL,13
27,31,SA,22
33,47,MID,14
23,18,ARK,18
27,23,TUL,6
0,6,SPR,0
124,111,SPR,81
0,9,TUL,0
0,1,MID,0
0,2,CC,1
12,16,SA,15
1,2,SA,1
135,120,MID,73
58,52,ARK,49
18,23,SPR,7
123,104,TUL,71
65,103,WIC,73
4,7,MID,3
0,11,TUL,0
0,3,CC,3
31,48,MID,45
39,42,SPR,25
107,103,ARK,47
102,121,SA,140
0,13,TUL,0
1,2,WIC,1
50,44,TUL,26
0,11,CC,0
82,92,TUL,77
0,18,TUL,0
70,65,SA,58
82,85,SPR,80
33,59,CC,28
23,33,SPR,17
3,8,TUL,3
66,100,MID,70
5,4,WIC,2
3,7,ARK,4
0,17,SPR,0
76,76,FRI,82
7,9,FRI,5
0,4,TUL,0
75,66,SPR,48
158,130,WIC,113
13,20,SPR,20
27,46,SA,18
105,115,SA,74
0,5,CC,7
30,47,SPR,26
91,94,WIC,65
124,120,TUL,103
0,1,MID,0
29,54,ARK,75
17,15,SA,8
