Opp,Date,Age,TRB%,eFG%,USG%,ORtg,Tm,AST%
GSW,2004-04-09,25-036,2.5,.500,12.2,116,MIN,14.8
WAS,2004-04-02,25-029,4.9,.400,15.7,75,MIN,13.3
HOU,2004-03-05,25-001,2.9,.500,8.0,119,MIN,10.3
ATL,2004-02-04,24-337,8.6,.167,12.3,46,MIN,5.1
LAL,2004-03-26,25-022,4.6,.000,4.1,56,MIN,17.8
SAC,2003-11-05,24-246,12.2,.400,8.8,131,MIN,0.0
POR,2004-03-10,25-006,4.8,.600,12.4,104,MIN,7.8
UTA,2004-02-11,24-344,7.4,.500,5.8,109,MIN,5.9
DEN,2004-03-24,25-020,6.8,.417,15.2,83,MIN,12.9
POR,2003-12-26,24-297,7.2,.333,9.7,79,MIN,7.6
MEM,2004-04-14,25-041,11.4,.667,13.4,129,MIN,23.8
HOU,2003-12-16,24-287,8.9,.333,4.9,143,MIN,0.0
NOH,2004-01-13,24-315,6.3,.200,11.6,68,MIN,7.8
BOS,2003-12-15,24-286,2.5,.667,11.6,119,MIN,7.8
WAS,2003-12-12,24-283,16.5,.857,11.5,163,MIN,6.8
DEN,2004-01-26,24-328,6.4,.000,1.3,50,MIN,3.8
MEM,2003-11-28,24-269,10.0,.750,10.5,144,MIN,0.0
SAS,2004-03-23,25-019,7.0,.500,10.0,97,MIN,0.0
UTA,2003-11-14,24-255,7.4,.333,5.6,84,MIN,7.1
SEA,2004-03-09,25-005,5.3,.750,5.5,172,MIN,7.7
ORL,2003-11-07,24-248,11.4,.000,6.8,48,MIN,0.0
SAS,2004-01-14,24-316,7.5,.500,4.0,109,MIN,0.0
DET,2004-01-23,24-325,17.4,.000,7.5,66,MIN,6.5
TOR,2004-01-21,24-323,5.2,.667,10.0,149,MIN,0.0
BOS,2004-03-07,25-003,5.9,.400,9.6,93,MIN,10.9
MIA,2003-11-08,24-249,7.7,.500,6.8,107,MIN,21.2
