TOV%,G,ORtg,MP,GmSc,Tm,AST%,TS%
66.7,50,67,19:33,-0.6,OKC,0.0,1.000
0.0,16,210,20:24,6.2,OKC,12.2,1.000
0.0,13,56,24:52,1.1,OKC,0.0,.000
50.0,1,60,11:04,0.9,OKC,0.0,.500
41.0,70,126,19:45,6.2,OKC,13.8,.868
29.1,40,133,22:52,5.4,OKC,10.5,.615
0.0,49,141,31:32,7.2,OKC,9.8,.512
0.0,67,210,17:53,9.9,OKC,36.2,1.025
0.0,12,161,21:10,6.6,OKC,0.0,.800
0.0,42,123,25:39,1.9,OKC,0.0,.436
25.0,38,143,23:07,6.0,OKC,0.0,1.000
0.0,36,138,19:47,3.9,OKC,6.4,.532
0.0,3,149,17:34,6.9,OKC,0.0,.699
25.0,6,114,17:10,3.8,OKC,0.0,.667
9.3,48,87,25:05,3.6,OKC,7.6,.410
42.9,9,94,19:42,2.2,OKC,0.0,.750
15.0,19,147,29:35,18.4,OKC,8.1,.839
0.0,41,61,15:48,0.0,OKC,7.6,.225
0.0,45,84,15:13,0.4,OKC,14.0,.000
0.0,32,174,22:11,9.9,OKC,22.9,.800
0.0,57,108,20:48,3.4,OKC,0.0,.340
33.3,37,147,34:21,6.6,OKC,0.0,1.000
0.0,31,205,6:39,2.4,OKC,19.6,1.000
23.7,52,134,28:18,11.5,OKC,12.6,.854
28.6,56,69,18:54,1.8,OKC,28.6,.200
20.5,44,97,27:03,4.1,OKC,0.0,.644
33.3,68,110,22:47,6.5,OKC,12.2,.750
0.0,66,148,23:04,9.1,OKC,7.5,.615
25.8,69,126,30:26,3.6,OKC,0.0,.347
15.5,10,123,18:10,6.8,OKC,0.0,.643
0.0,22,49,12:42,-0.1,OKC,9.4,.000
0.0,27,147,22:43,5.8,OKC,6.1,.667
0.0,59,131,17:00,1.6,OKC,22.3,.000
25.0,71,112,19:03,3.5,OKC,13.3,.667
26.6,34,121,21:14,4.1,OKC,0.0,.543
