R,RBI,G,SO,OPS,Team,SF,SH,CS
1,1,4,1,0.321,FRE,0,0,0
55,51,85,70,0.987,REN,3,1,0
6,3,11,8,0.643,FRE,0,1,0
22,22,49,44,0.676,IOW,1,2,0
1,0,2,3,0.5,RR,0,0,0
49,34,91,36,0.784,TUC,8,2,3
9,12,25,13,0.587,TUC,0,0,1
1,0,4,1,0.267,TAC,0,0,0
10,4,17,16,0.576,SAC,0,0,0
46,39,69,44,0.911,MEM,5,0,0
9,14,18,16,0.799,LAS,2,0,1
20,18,35,19,0.763,LAS,0,0,3
9,9,19,17,0.723,COL,0,1,1
64,101,93,89,1.056,TUC,8,0,6
18,15,21,25,0.879,OKC,0,0,1
64,61,69,53,1.076,LAS,1,4,2
11,9,25,18,0.708,OMA,2,0,4
31,32,46,37,0.856,SAC,1,0,1
86,92,101,94,1.034,REN,3,0,3
66,68,123,51,0.828,NEW,2,1,3
24,27,54,24,0.71,SAC,2,0,2
0,0,1,1,1.0,OMA,0,0,0
28,31,107,45,0.681,OKC,5,3,2
1,0,4,8,0.464,ALB,0,0,0
21,15,26,16,1.107,OMA,1,0,0
1,1,4,3,0.593,MEM,0,0,0
84,109,133,100,0.817,MEM,4,0,1
38,44,55,44,0.845,OMA,3,2,1
40,57,63,42,0.951,TUC,1,2,4
7,12,19,10,0.761,RR,1,0,0
29,42,45,51,0.95,COL,1,0,0
19,25,34,8,1.067,REN,0,1,2
61,70,130,68,0.88,MEM,6,3,4
34,41,58,45,0.809,TAC,1,1,1
41,58,61,36,0.89,COL,1,0,1
82,107,133,54,0.871,FRE,9,2,6
1,1,2,1,0.73,COL,0,0,0
77,96,120,43,0.974,LAS,9,0,3
90,96,128,84,0.912,NAS,2,0,0
27,22,66,50,0.653,ALB,0,0,0
55,72,75,85,0.897,SAC,3,0,1
32,32,49,47,0.975,FRE,3,0,4
67,35,105,87,0.709,SLC,0,8,6
21,25,35,17,0.915,OMA,3,1,4
85,100,134,85,0.838,SLC,5,0,1
71,51,103,57,0.762,COL,3,2,3
1,2,2,3,0.762,FRE,0,0,0
