SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1997 - 1998,Hudiksvalls HC,Division 2,16,6,3,7,-,-,58,65,15,6,-
1998 - 1999,Hudiksvalls HC,Division 2,18,4,3,11,-,-,57,81,11,9,-
 ,Hudiksvalls HC,Division 2,10,4,1,5,-,-,37,31,9,5,-
1999 - 2000,Hudiksvalls HC,Division 1,18,8,1,9,-,-,63,77,17,5,-
2000 - 2001,Hudiksvalls HC,Division 1,18,6,1,11,-,-,60,90,13,7,-
2001 - 2002,Hudiksvalls HC,Division 1,18,4,2,12,-,-,57,81,10,9,-
2002 - 2003,Hudiksvalls HC,Division 1,20,9,5,6,-,-,77,72,23,6,-
 ,Hudiksvalls HC,Division 1,12,6,2,4,-,-,47,45,19,3,-
2003 - 2004,Hudiksvalls HC,Division 1,18,9,1,8,-,-,71,64,19,6,Relegated
2004 - 2005,Hudiksvalls HC,Division 2,26,11,4,11,-,-,96,93,26,7,-
2005 - 2006,Hudiksvalls HC,Division 2,28,24,3,1,-,-,131,53,51,1,Promoted
2006 - 2007,Hudiksvalls HC,Division 1,32,15,3,12,2,0,117,91,52,3,-
 ,Hudiksvalls HC,Division 1,6,3,-,3,0,0,21,18,12,2,-
2007 - 2008,Hudiksvalls HC,Division 1,25,14,1,9,0,1,92,77,44,3,-
 ,Hudiksvalls HC,Division 1,10,3,1,6,0,0,27,37,10,5,-
2008 - 2009,Hudiksvalls HC,Division 1,28,13,-,8,2,5,89,80,48,4,-
 ,Hudiksvalls HC,Division 1,8,6,-,2,0,0,36,18,24,1,Kval upp
2009 - 2010,Hudiksvalls HC,Division 1,21,13,-,5,2,1,73,46,44,3,-
 ,Hudiksvalls HC,Division 1,14,8,-,4,1,1,48,37,27,3,Kval upp
2010 - 2011,Hudiksvalls HC,Division 1,28,23,-,5,0,0,150,53,69,1,-
 ,Hudiksvalls HC,Division 1,14,7,-,5,1,1,53,37,24,4,Kval upp
2011 - 2012,Hudiksvalls HC,Division 1,27,19,-,7,1,0,123,73,59,1,-
 ,Hudiksvalls HC,Division 1,14,6,-,4,2,2,51,39,24,4,Kval upp
2012 - 2013,Hudiksvalls HC,Division 1,27,17,-,4,2,4,94,66,59,2,-
 ,Hudiksvalls HC,Division 1,14,4,-,8,1,1,45,51,15,6,-
2013 - 2014,Hudiksvalls HC,Division 1,27,18,-,2,2,5,131,71,63,1,-
 ,Hudiksvalls HC,Division 1,14,9,-,4,1,0,42,33,29,3,Kval upp
2014 - 2015,Hudiksvalls HC,Division 1,22,12,-,6,3,1,74,58,43,3,-
 ,Hudiksvalls HC,Division 1,14,5,-,6,1,2,45,45,19,5,Kval upp
2015 - 2016,Hudiksvalls HC,Division 1,-,-,-,-,-,-,-,-,-,-,-
