Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
LEHUEDE Michelle,CHI,F,11CHI001,0.0,990.0,0.0,1974.0,L,1.0,All,10/23/2010,1.0,CHI004
 , , , , , , , , , , , , , 
LEHUEDE Michelle,CHI,F,11CHI001,0.0,800.0,0.0,1974.0,L,2.0,All,10/23/2010,1.0,CHI004
 , , , , , , , , , , , , , 
LEHUEDE Michelle,CHI,F,11CHI002,0.0,1310.0,0.0,1974.0,L,1.0,35+F,11/06/2010,1.0,CHI006
 , , , , , , , , , , , , , 
LEHUEDE Michelle,CHI,F,11CHI99,0.0,1030.0,0.0,1974.0,L,1.0,35+F,11/28/2010,3.0,CHI004
 , , , , , , , , , , , , , 
LEHUEDE Michelle,CHI,F,11CHI99,0.0,1000.0,0.0,1974.0,L,2.0,35+F,11/28/2010,3.0,CHI004
