Opp,DRB%,BLK%,ORB%
MIA,25.3,7.9,15.0
CHI,8.6,0.0,0.0
LAC,0.0,0.0,0.0
LAL,18.2,0.0,16.3
SEA,0.0,24.2,0.0
GSW,34.0,0.0,0.0
LAL,24.5,4.5,11.5
HOU,10.3,0.0,8.9
PHO,0.0,0.0,0.0
MIN,19.4,0.0,13.6
POR,17.8,0.0,0.0
UTA,0.0,3.7,5.8
GSW,0.0,0.0,0.0
ORL,34.8,0.0,11.4
PHI,100.0,0.0,0.0
MIL,14.8,0.0,10.9
CHH,36.4,0.0,8.9
DET,18.2,0.0,22.4
MIN,14.0,0.0,15.0
MIN,10.3,0.0,8.9
SEA,33.6,4.8,16.1
LAL,77.3,0.0,0.0
GSW,48.0,0.0,0.0
CHH,12.5,0.0,11.5
WSB,0.0,0.0,0.0
LAC,16.3,0.0,22.2
PHO,26.7,0.0,0.0
DAL,0.0,14.3,22.3
NJN,6.5,0.0,7.3
MIL,6.7,4.5,15.8
DAL,18.2,13.2,0.0
