UMass Boston,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hp,sh,sf,so,ibb,kl,gdp,po,a,e
D. Noonan p/dh,5,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
M. McCormack cf,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,4,0,0
R. Walsh 2b,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
D. Tambling lf,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
C. Reinfurt 1b,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,5,0,0
T. Fontaine c,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,1
M. Mattei 3b,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
P. Lynch rf,4,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
T. Buccetti rf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Consiglio ss,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
D. Heefner p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Damon p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Young p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals,36,5,11,4,1,0,1,3,1,3,0,0,0,6,0,2,2,28,7,2
