Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
RA Jadeja,5,10,255.4,68,573,30,6/138,7/98,19.10,2.24,51.1,2,0,2,0
R Ashwin,7,14,355.2,96,923,41,7/103,12/198,22.51,2.59,52.0,4,1,4,0
PP Ojha,4,8,152.3,36,416,18,5/40,10/89,23.11,2.72,50.8,2,1,2,0
Mohammed Shami,4,8,124.1,15,445,17,5/47,9/118,26.17,3.58,43.8,1,0,1,0
SR Tendulkar,6,4,9.0,1,33,1,1/5,1/23,33.00,3.66,54.0,0,0,1,0
B Kumar,6,11,104.0,18,341,9,3/31,3/60,37.88,3.27,69.3,0,0,4,0
Harbhajan Singh,2,4,84.0,17,204,5,2/52,3/142,40.80,2.42,100.8,0,0,0,0
Z Khan,2,3,88.3,11,320,7,4/88,5/223,45.71,3.61,75.8,0,0,0,0
I Sharma,6,12,187.0,40,578,12,4/79,5/170,48.16,3.09,93.5,0,0,1,0
M Vijay,8,1,1.0,0,3,0,-,-,-,3.00,-,0,0,10,0
MS Dhoni,8,1,2.0,0,4,0,-,-,-,2.00,-,0,0,16,6
V Kohli,8,1,6.0,0,18,0,-,-,-,3.00,-,0,0,7,0
RG Sharma,4,2,11.4,1,39,0,-,-,-,3.34,-,0,0,4,0
S Dhawan,5,-,-,-,-,-,-,-,-,-,-,-,-,2,0
CA Pujara,8,-,-,-,-,-,-,-,-,-,-,-,-,1,0
AM Rahane,3,-,-,-,-,-,-,-,-,-,-,-,-,1,0
V Sehwag,2,-,-,-,-,-,-,-,-,-,-,-,-,6,0
