RBI,SB,IBB,AB,H,SH,Result
5,0,0,4,2,0,W 12-5 @BAL
7,0,0,4,3,0,W 10-1 vs COL
5,0,0,5,4,0,W 12-4 @CLE
0,1,0,4,4,0,W 11-5 vs CHA
3,0,0,5,2,0,W 13-4 vs CIN
6,0,0,4,2,0,W 15-8 @TEX
0,0,0,3,0,0,L 0-10 vs OAK
2,0,0,4,2,0,L 2-7 vs FLO
2,0,0,5,4,1,W 7-6 vs NYN
5,0,0,4,2,1,L 11-13 vs TOR
0,0,0,1,1,0,W 9-8 vs MIN
4,0,0,4,2,0,W 12-3 vs ATL
5,0,0,5,2,0,W 5-3 @KCA
0,0,1,2,0,0,L 6-7 @TEX
4,0,0,5,4,0,W 8-3 vs NYA
0,0,0,1,0,0,W 9-0 vs PHI
5,1,0,5,4,0,W 16-8 vs ATL
0,0,0,5,0,0,W 6-3 vs LAN
1,0,0,1,1,0,W 7-3 vs DET
2,0,0,4,2,0,W 7-6 vs MON
3,0,0,5,4,0,W 12-3 vs SLN
0,0,0,4,4,0,L 6-16 @ARI
3,0,0,4,1,0,W 13-0 vs SDN
4,0,0,4,2,0,L 6-7 vs CIN
3,0,0,5,3,0,W 6-1 @CHN
0,0,0,3,0,0,L 0-17 vs FLO
4,0,0,5,3,0,W 8-5 @TEX
1,0,0,4,3,0,W 6-1 @SLN
5,0,0,5,3,0,W 10-8 vs KCA
0,0,0,4,0,0,W 7-6 vs LAN
3,0,0,6,5,0,L 8-10 vs TEX
3,0,0,4,2,0,W 8-5 vs NYN
6,0,0,3,2,0,W 10-6 vs TBA
1,0,0,4,3,0,W 6-4 @TBA
2,0,0,3,3,0,W 12-3 @CAL
2,1,0,4,3,0,W 10-4 vs PHI
0,0,0,2,1,0,W 7-5 @BAL
3,0,0,7,5,0,L 9-10 vs MIN
