AVG,H,Player,SO,AB,POS,3B
.305,47,A Santander,37,154,LF,1
.382,63,P Hoenecke,22,165,3B,4
.296,8,J Decker,3,27,OF,2
.347,26,A Almora,8,75,OF,1
.250,1,J Chaplin,1,4,1B,0
.467,7,R Lopez,4,15,C,1
.269,14,A Renteria,20,52,DH,1
.389,14,T Taylor,3,36,OF,3
.240,41,I Yates,49,171,CF,6
.353,48,B Carhart,14,136,3B,1
.417,5,J Andrade,1,12,C,0
.000,0,J Cruz,2,4,OF,0
.280,7,A Cowen,7,25,C,0
.412,14,E Sarmiento,5,34,C,1
.257,18,F Filpo,19,70,LF,1
.209,19,S Jarrin,24,91,2B,1
.483,29,T Ogle,12,60,C,0
.242,43,A Ortega,24,178,SS,2
.381,40,M Mercedes,15,105,2B,1
.133,13,R Bolden,40,98,RF,1
.273,15,F Perez,17,55,3B,1
.217,20,J Williams,36,92,1B,1
.306,34,H Powell,9,111,CF,0
.194,13,F Vivili,17,67,C,1
.276,43,H Charles,26,156,LF,2
.200,10,C Kreuter,21,50,1B,1
.257,19,A Ford,13,74,SS,2
.208,5,W Rivas,7,24,C,0
.100,1,W Petit,2,10,C,0
.313,63,N Williams,50,201,LF,6
.135,5,M Pericht,19,37,C,1
.208,10,A Edge,15,48,C,0
.167,5,R Crawford,9,30,OF,0
.385,5,R Poythress,3,13,1B,0
.355,61,D Paulino,31,172,SS,6
.188,13,M Walding,23,69,1B,1
.295,26,N Cuevas,9,88,OF,1
.255,14,D Mejia,16,55,C,1
.220,13,J Garcia,17,59,LF,1
.297,35,A Rachal,24,118,2B,4
.333,25,G Guerrero,13,75,RF,0
.229,25,N Rodriguez,41,109,1B,3
.250,9,C Lin,16,36,RF,0
--,0,R White,0,0,P,0
.289,28,L Baez,20,97,RF,2
.284,52,J Sermo,41,183,2B,4
.274,23,J Bianco,26,84,CF,2
.129,4,C Diaz,11,31,RF,0
.268,42,T Booth,40,157,CF,2
.284,21,C Ross,11,74,3B,2
.214,3,Z Livingston,2,14,C,0
.231,6,C Escobar,12,26,C,0
.240,6,J Kelly,11,25,SS,0
.303,36,A Escalera-Maldonado,29,119,CF,2
.218,17,D Lyon,18,78,C,1
.260,45,J Munoz,53,173,SS,2
.301,43,B Boyd,36,143,CF,4
.261,43,K Eaves,34,165,2B,5
.273,3,Z Jones,2,11,1B,0
--,0,A Roy,0,0,P,0
.289,26,R Honeycutt,9,90,DH,0
.283,32,P Gonzalez,19,113,C,2
.220,18,J Scavuzzo,27,82,CF,1
.247,45,R Ortiz,47,182,CF,4
.400,2,T Oeltjen,0,5,LF,0
.180,11,R Linares,19,61,2B,2
.241,13,J Soler,13,54,RF,0
.273,50,C Penalver,31,183,SS,1
.264,53,N Mazara,70,201,RF,3
.364,8,A Colon,7,22,LF,2
.268,37,M Dowell,37,138,LF,1
.462,6,M Pina,2,13,C,0
.157,8,J Morillo,3,51,C,0
.000,0,G Benusa,1,7,OF,0
.182,2,M Richard,1,11,LF,0
.176,12,B Amaral,24,68,DH,1
.078,6,J Leal,44,77,RF,0
.325,38,A Matthews,24,117,RF,2
.248,28,M Brito,27,113,2B,1
.267,4,A Gutierrez,1,15,C,0
.250,2,T Jankowski,1,8,OF,0
.282,50,M Olson,46,177,1B,1
.232,19,L Villegas,15,82,C,1
.322,29,J Marra,19,90,C,1
.286,46,S Dunston,33,161,CF,4
.300,9,J Delgado,4,30,2B,0
.187,32,L Marte,31,171,SS,2
.088,7,L Fuentes,47,80,1B,0
.240,29,P Llewellyn,41,121,1B,1
.364,8,C Colon,0,22,SS,0
.273,15,I Garsez,16,55,OF,3
.161,10,J Valdelamar,25,62,LF,0
.221,42,D Lockhart,27,190,2B,4
.240,23,A Santana,41,96,3B,1
.379,44,P Toribio,17,116,SS,5
