TS%,Date,BLK%,ORB%,G,eFG%,Age,MP
.868,1996-01-12,1.8,11.9,30,1.000,30-136,36:00
.644,1996-01-22,0.0,13.7,36,.667,30-146,36:00
1.000,1996-01-26,4.0,11.1,38,1.000,30-150,17:00
.218,1996-03-02,4.4,47.1,54,.167,30-186,17:00
.583,1996-03-06,7.9,15.8,56,.583,30-190,26:00
.333,1996-04-15,0.0,16.0,77,.333,30-230,15:00
.381,1996-01-24,1.9,14.9,37,.429,30-148,42:00
.000,1995-12-21,0.0,30.8,20,.000,30-114,4:00
.323,1995-12-08,3.6,21.8,14,.000,30-101,20:00
.872,1995-12-10,0.0,0.0,15,1.000,30-103,19:00
1.000,1996-04-02,0.0,0.0,70,1.000,30-217,9:00
.000,1996-02-21,0.0,20.0,49,.000,30-176,6:00
.375,1995-12-14,0.0,16.2,17,.375,30-107,33:00
.874,1996-01-16,7.5,11.7,32,.857,30-140,30:00
1.014,1996-03-22,2.6,11.3,64,1.000,30-206,23:00
.000,1996-01-05,4.7,13.6,27,.000,30-129,15:00
.000,1995-12-02,0.0,24.5,12,.000,30-095,4:00
.372,1996-02-07,7.6,10.9,43,.333,30-162,26:00
.773,1996-04-05,5.6,14.8,72,.667,30-220,12:00
1.000,1996-02-15,0.0,0.0,45,1.000,30-170,7:00
.500,1996-03-08,0.0,0.0,57,.500,30-192,15:00
.735,1996-03-20,6.2,25.7,63,.800,30-204,22:00
.429,1996-02-23,3.6,12.0,50,.429,30-178,34:00
.000,1996-02-18,0.0,17.8,47,.000,30-173,6:00
.750,1996-03-16,7.6,6.6,61,.750,30-200,17:00
.399,1996-03-25,0.0,16.2,66,.000,30-209,11:00
.500,1995-12-19,12.5,22.2,19,.500,30-112,18:00
.532,1996-03-18,10.8,37.2,62,.000,30-202,6:00
.000,1995-11-14,0.0,0.0,6,.000,30-077,6:00
.436,1995-12-26,0.0,20.0,23,.333,30-119,16:00
.475,1995-11-03,0.0,15.0,1,.400,30-066,20:00
.000,1995-11-22,0.0,0.0,9, ,30-085,12:00
.820,1996-03-29,0.0,15.7,68,.833,30-213,13:00
.490,1995-12-13,10.9,19.8,16,.500,30-106,27:00
.506,1995-12-28,7.4,20.4,24,.500,30-121,31:00
.000,1996-02-02,7.7,15.7,40,.000,30-157,9:00
.508,1995-11-04,0.0,7.2,2,.429,30-067,19:00
.000,1995-11-12,0.0,0.0,5,.000,30-075,5:00
.500,1996-03-31,0.0,21.4,69,.500,30-215,16:00
.500,1996-02-20,0.0,15.6,48,.500,30-175,7:00
.694,1996-04-08,3.3,6.1,74,.500,30-223,22:00
.500,1995-12-25,0.0,16.7,22,.500,30-118,20:00
.592,1995-11-18,0.0,21.3,8,.600,30-081,10:00
.457,1996-02-29,10.7,22.8,53,.286,30-184,29:00
.750,1996-04-18,3.7,20.4,79,.750,30-233,23:00
.506,1996-04-21,0.0,24.8,80,.444,30-236,17:00
