Team,RBI,2B,Player,AB,SLG,SF,OBP
OAX,2,1,K Harvey,21,.190,0,.217
PUE,12,6,F Valdez,134,.388,3,.393
CAM,4,4,F Acosta,26,.577,0,.379
MTY,22,11,C Orrantia,262,.340,2,.351
MTY,59,18,E Quintero,349,.499,4,.396
SLT,74,29,C Presichi,382,.558,4,.411
MIN,38,11,J Guzman,192,.495,3,.346
CHI,27,8,R Gastelum,202,.416,1,.364
CHI,6,2,V Gamez,83,.205,0,.244
CAM,0,0,F Cervera,6,.000,0,.143
OAX,6,0,M Patino,54,.185,0,.214
MXO,27,15,E Arredondo,289,.426,3,.397
CHI,23,16,D Smith,386,.391,2,.388
MVA,4,0,C Pons,50,.280,0,.356
VRA,6,3,R Candelario,67,.239,0,.217
YUC,13,6,A Arredondo,104,.394,0,.321
TIJ,66,16,D White,264,.598,1,.445
MTY,27,20,F Rios,288,.347,1,.354
VAQ,67,15,E Valdez,300,.450,6,.368
MXO,85,23,V Bojorquez,415,.528,5,.387
OAX,4,0,F Lopez,91,.198,0,.219
VRA,0,1,R Yan,30,.100,0,.152
OAX,15,4,R Aguirre,99,.485,0,.364
VRA,4,3,J Serna,51,.314,1,.361
YUC,5,2,G Angulo,94,.245,0,.284
MVA,81,27,J Gutierrez,397,.484,4,.381
CHI,59,30,B Gil,379,.504,2,.387
YUC,32,25,L Borges,378,.410,2,.390
MTY,10,8,A Castillo,44,.568,1,.375
QR,17,12,E Alfonzo,214,.379,2,.355
MXO,0,0,D Fernandez,0,--,0,1.000
YUC,65,21,W Romero,378,.503,9,.430
MIN,26,9,H Casillas,206,.306,1,.265
CAM,1,0,R Vizcarra,35,.029,0,.081
VRA,0,0,G Ruiz,7,.143,0,.143
CHI,6,2,M Inzunza,24,.542,0,.385
YUC,22,3,L Rodriguez,134,.328,2,.373
CHI,29,9,F Rodriguez,232,.349,2,.298
LAR,24,14,G Vazquez,378,.347,3,.341
TAB,2,1,E Rangel,36,.250,0,.282
TIJ,45,15,J Espinoza,396,.409,1,.385
TAB,52,21,M Martinez,356,.402,2,.377
TAB,19,7,T Robles,205,.278,2,.317
MTY,29,16,M Flores,294,.388,2,.390
VRA,54,16,J Vega,304,.355,3,.290
SLT,2,0,C Gonzalez,14,.214,0,.267
MXO,78,21,C Valencia,356,.567,7,.326
MTY,16,5,C Rodriguez,159,.314,1,.313
MVA,8,1,J Perez,66,.333,0,.324
TAB,4,2,M Alfonso,86,.337,0,.337
MTY,8,1,D Hinojosa,73,.178,0,.282
LAR,23,8,H Garcia,307,.293,2,.305
QR,7,5,K Flores,105,.238,0,.248
VAQ,25,9,I Araujo,253,.383,2,.363
MXO,46,12,J Macias,301,.492,1,.396
MXO,27,10,R Petagine,129,.605,1,.488
OAX,4,1,C Sosa,49,.245,0,.321
QR,50,21,C Gastelum,385,.400,2,.351
QR,36,17,S Contreras,305,.397,3,.362
QR,17,7,A Contreras,137,.423,0,.387
TIJ,6,4,F Esparragoza,87,.322,1,.280
SLT,37,20,J Cota,349,.375,3,.322
CAM,70,22,R Rivera,366,.637,1,.464
MXO,13,3,R Acosta,55,.473,1,.371
OAX,5,0,M Nettles,52,.192,1,.246
TIJ,27,10,A Munoz,262,.321,2,.278
