Name,Weight (%),ISIN,Sector,SEDOL,Market Value,Price,Maturity,Coupon (%),Duration,Notional Value,YTM (%),Yield to Call (%),Yield to Worst (%),Par Value
BLK CSH FND TREASURY SL AGENCY,49.56,US0669224778,Cash and/or Derivatives,-,"$29,729,964",1.0,-,0.19,0.0,"29,729,963.67",0.19,-,0.19,"29,729,964.00"
GNMA2 30YR 2015 PRODUCTION,21.28,-,Agency Fixed Rate,-,"$12,763,306",104.2,"Jul 20, 2045",3.5,3.65,"12,763,305.52",2.68,-,2.68,"12,215,672.00"
GNMA2 30YR TBA(REG C),8.97,-,Agency Fixed Rate,-,"$5,378,380",107.72,"Aug 20, 2015",4.5,2.58,"5,378,380.38",2.47,-,2.47,"4,982,000.00"
GNMA2 30YR 2014 PRODUCTION,7.41,-,Agency Fixed Rate,-,"$4,447,232",105.94,"Jul 20, 2044",4.0,3.01,"4,447,231.77",2.59,-,2.59,"4,185,283.00"
GNMA2 30YR TBA(REG C),7.36,-,Agency Fixed Rate,-,"$4,415,457",105.93,"Aug 20, 2015",4.0,3.01,"4,415,457.22",2.59,-,2.59,"4,160,000.00"
GNMA2 30YR TBA(REG C),7.01,-,Agency Fixed Rate,-,"$4,206,501",101.2,"Aug 20, 2015",3.0,4.81,"4,206,500.52",2.79,-,2.79,"4,150,000.00"
GNMA2 30YR TBA(REG C),5.56,-,Agency Fixed Rate,-,"$3,335,161",104.04,"Aug 20, 2015",3.5,3.65,"3,335,161.11",2.68,-,2.68,"3,200,000.00"
GNMA2 30YR 2013 PRODUCTION,5.52,-,Agency Fixed Rate,-,"$3,310,166",101.49,"Sep 20, 2043",3.0,4.81,"3,310,165.60",2.79,-,2.79,"3,253,736.00"
GNMA 30YR TBA(REG C),4.76,-,Agency Fixed Rate,-,"$2,857,876",110.94,"Aug 20, 2015",5.0,1.19,"2,857,875.69",1.33,-,1.33,"2,570,000.00"
GNMA2 30YR 2014 PRODUCTION,3.36,-,Agency Fixed Rate,-,"$2,014,368",101.34,"Aug 20, 2044",3.0,4.81,"2,014,367.53",2.79,-,2.79,"1,982,914.00"
