2B,RBI,POS,BB,Team,G,AVG,R,SF
15,55,3B,36,NBR,67,0.236,35,3
1,0,C,1,REA,2,0.167,0,0
30,52,3B,70,BIN,127,0.272,77,6
1,5,2B,12,RIC,32,0.188,10,0
1,3,2B,1,REA,3,0.5,2,1
0,0,3B,4,NH,3,0.333,3,0
24,60,SS,44,NH,120,0.262,59,4
12,33,3B,37,HAR,97,0.254,31,3
16,31,2B,21,NH,64,0.243,26,2
0,0,C,0,HAR,1,0.0,0,0
3,1,C,3,ALT,20,0.164,7,0
10,29,1B,23,AKR,38,0.328,23,2
0,0,2B,1,ALT,4,0.143,1,0
17,23,3B,26,REA,80,0.264,31,2
4,22,SS,12,TRN,46,0.218,15,1
23,43,3B,14,AKR,116,0.27,42,2
3,2,C,2,TRN,9,0.16,2,0
4,8,C,1,AKR,21,0.295,9,0
28,105,1B,56,AKR,130,0.275,66,7
19,38,2B,21,NBR,70,0.284,40,2
9,38,C,28,ALT,99,0.22,23,3
0,2,C,5,AKR,5,0.2,2,0
23,47,3B,59,ALT,118,0.281,62,4
10,25,C,24,TRN,49,0.268,34,2
12,23,SS,31,RIC,73,0.24,31,2
7,5,SS,10,RIC,48,0.263,19,1
19,33,SS,22,REA,117,0.225,35,5
1,1,3B,7,REA,12,0.143,3,0
4,10,SS,8,ALT,35,0.255,13,1
11,30,1B,20,BIN,53,0.278,20,2
4,15,3B,9,NBR,33,0.165,12,2
22,67,1B,73,HAR,131,0.25,56,7
2,4,SS,2,POR,6,0.2,1,1
6,7,3B,12,AKR,34,0.31,12,0
0,0,SS,0,BIN,1,0.0,0,0
16,42,2B,30,REA,128,0.254,76,7
0,5,SS,10,POR,19,0.236,7,2
24,69,1B,53,TRN,124,0.253,59,2
0,0,C,1,NH,2,0.0,1,0
28,35,2B,12,ERI,87,0.301,45,3
7,28,SS,21,HAR,53,0.267,32,1
11,24,3B,30,HAR,33,0.319,17,3
8,22,2B,13,ERI,53,0.303,19,1
0,0,C,0,AKR,1,0.333,0,0
4,5,2B,17,NBR,49,0.15,13,0
15,29,C,16,NH,50,0.276,28,3
1,4,2B,7,NH,25,0.22,9,1
12,52,2B,19,BOW,61,0.291,38,2
22,47,3B,38,NBR,101,0.253,47,5
1,6,1B,4,TRN,8,0.125,2,0
10,16,3B,20,TRN,67,0.228,19,2
1,2,SS,0,POR,3,0.429,2,0
23,68,C,64,NBR,107,0.308,59,0
13,61,3B,48,BOW,99,0.213,46,3
4,6,C,3,RIC,17,0.2,3,0
14,43,1B,40,NH,76,0.27,41,0
13,51,3B,10,REA,69,0.339,47,3
2,6,SS,2,TRN,20,0.312,12,2
0,0,C,1,RIC,5,0.273,0,0
15,31,2B,20,POR,92,0.255,43,0
10,16,SS,28,ALT,72,0.177,29,3
8,19,1B,10,NH,32,0.366,21,0
19,49,SS,8,BOW,125,0.276,54,1
14,28,3B,51,POR,66,0.296,36,2
12,35,SS,35,POR,56,0.311,40,2
1,9,C,4,TRN,19,0.176,4,0
21,65,3B,79,NH,126,0.21,67,1
12,17,SS,5,REA,60,0.295,22,1
0,0,2B,0,REA,2,0.0,0,0
19,32,3B,23,NH,64,0.253,40,3
22,54,C,44,ERI,84,0.304,44,3
14,25,3B,27,ALT,95,0.254,38,5
18,49,3B,30,ALT,131,0.216,53,3
8,10,2B,2,NH,48,0.213,13,0
