Tm,DRB%,GmSc,ORB%,TOV%,BLK%,DRtg,Date
NJN,44.1,-0.4,0.0,66.7,8.9,80,2007-01-22
NJN,5.5,2.7,9.8,0.0,4.4,102,2007-03-15
NJN,21.3,5.2,3.9, ,7.9,105,2007-02-27
NJN,13.3,11.9,0.0,0.0,0.0,104,2006-12-26
NJN,18.4,-1.8,6.4,20.5,0.0,119,2007-01-13
NJN,17.1,1.0,8.6,53.2,3.0,124,2007-02-21
NJN,0.0,-3.7,0.0,50.0,0.0,124,2007-04-15
NJN,14.2,-0.4,0.0,0.0,6.6,102,2007-04-10
NJN,14.0,3.5,11.0,29.1,0.0,109,2006-12-13
NJN,0.0,-1.5,6.9,0.0,0.0,111,2007-04-16
NJN,3.5,-1.0,11.3,20.0,0.0,116,2006-12-02
NJN,22.9,-0.9,11.2,50.0,0.0,119,2006-11-29
NJN,26.4,1.8,0.0,0.0,5.7,110,2007-04-06
NJN,25.5,0.0,0.0, ,5.7,88,2007-04-04
NJN,3.3,2.9,0.0,23.1,0.0,123,2006-12-20
NJN,9.5,1.4,9.2,25.0,0.0,135,2007-01-29
NJN,18.6,-1.8,7.9,50.0,2.5,110,2007-02-25
NJN,0.0,0.3,0.0, ,0.0,103,2006-12-18
NJN,3.8,-2.2,3.5,21.0,0.0,103,2006-11-03
NJN,17.9,3.2,4.7,0.0,0.0,102,2006-12-27
NJN,28.8,8.4,0.0,0.0,10.5,82,2007-03-03
NJN,9.1,2.6,0.0,40.0,0.0,109,2007-03-24
NJN,12.0,2.7,5.4,25.8,0.0,115,2007-03-06
NJN,15.9,0.7,0.0,50.0,4.4,95,2006-11-12
NJN,9.1,-1.3,8.5,100.0,0.0,120,2007-03-09
NJN,23.0,0.6,0.0,34.7,0.0,123,2006-12-23
