d/s,s,ta,m,Rk,sa/s,pct
1.48,109,50,29,7,0.48,0.32
3.57,113,980,30,1,0.18,0.28
0.22,76,235,26,14,0.0,0.038
1.23,73,14,19,41,0.19,0.5
0.16,79,416,21,24,0.0,0.195
1.76,66,27,19,41,0.32,0.222
2.18,113,633,30,1,0.42,0.235
2.83,82,35,21,24,0.4,0.114
1.06,89,496,27,11,0.3,0.185
0.49,74,540,19,41,0.04,0.204
0.25,57,226,20,33,0.0,0.066
1.38,74,24,19,41,0.18,0.167
1.04,98,57,29,7,0.41,0.088
2.44,78,114,24,16,0.22,0.158
2.97,63,46,18,50,0.16,0.087
2.0,78,18,20,33,0.1,-0.056
2.87,92,1091,27,11,0.17,0.198
1.78,76,662,21,24,0.13,0.159
0.33,57,244,20,33,0.09,0.107
3.94,88,81,26,14,0.16,-0.062
2.24,72,47,21,24,0.29,0.064
4.18,113,34,30,1,0.23,0.029
3.17,70,332,20,33,0.26,0.133
3.14,70,538,19,41,0.21,0.115
0.73,86,602,28,10,0.07,0.151
3.0,66,40,20,33,0.27,-0.075
1.27,79,669,22,17,0.25,0.121
2.88,111,914,30,1,0.54,0.158
