DRtg,ORB%,USG%,Rk,TOV%,STL%,TS%,Tm
110,0.0,13.8,12,12.7,1.9,.509,LAL
92,5.5,15.9,48,29.1,0.0,.205,LAL
111,13.3,19.6,43,0.0,0.0,.515,LAL
103,5.8,13.3,69,20.5,3.1,.258,LAL
108,13.3,3.8,34,0.0,2.2,1.000,LAL
113,14.3,22.3,28,0.0,0.0,.429,LAL
120,0.0,10.6,39,0.0,0.0,.347,LAL
119,44.7,26.0,38,25.0,0.0,.000,LAL
120,13.0,10.1,40,0.0,0.0,.000,LAL
107,0.0,8.3,61,0.0,3.2,1.042,LAL
107,8.0,6.4,71,0.0,0.0,.500,LAL
109,0.0,18.5,6,0.0,0.0,.868,LAL
64,27.9,45.9,59,0.0,13.2,.250,LAL
113,17.8,22.8,32,14.7,2.0,.601,LAL
97,9.8,14.1,33,0.0,1.9,.342,LAL
126,0.0,6.7,47,50.0,0.0,.000,LAL
95,24.8,14.4,9,12.7,2.2,.509,LAL
103,0.0,11.9,49,0.0,0.0,1.000,LAL
108,21.3,27.1,52,0.0,0.0,.333,LAL
111,0.0,16.3,3,25.0,0.0,.833,LAL
109,5.7,15.8,68,26.9,2.7,.827,LAL
114,0.0,16.8,4,50.0,0.0,.000,LAL
130,0.0,11.2,53,0.0,0.0,.000,LAL
111,0.0,22.3,20,0.0,0.0,.167,LAL
114,0.0,0.0,63, ,0.0, ,LAL
83,0.0,9.1,44,33.3,3.3,.500,LAL
98,13.7,15.1,13,0.0,0.0,.465,LAL
97,0.0,12.7,42,0.0,0.0,.532,LAL
135,12.8,17.4,60,50.0,0.0,.000,LAL
130,36.4,0.0,56, ,0.0, ,LAL
101,0.0,12.7,50,0.0,2.9,.600,LAL
96,0.0,21.3,8,0.0,8.3,.776,LAL
114,29.9,16.2,18,40.0,0.0,.333,LAL
102,17.1,14.0,46,0.0,6.6,.400,LAL
127,0.0,10.9,23,0.0,0.0,.000,LAL
114,18.8,19.9,35,8.8,2.0,.533,LAL
127,14.6,0.0,22, ,0.0, ,LAL
123,15.3,18.1,5,0.0,4.5,.400,LAL
96,21.4,11.5,57,0.0,6.4,.500,LAL
110,8.2,8.7,10,0.0,0.0,.333,LAL
