2B,GIDP,SH,HR
1,0,0,0
3,2,0,3
21,11,8,7
0,0,0,0
12,9,0,9
7,4,5,2
8,3,0,1
6,3,2,1
4,0,1,0
11,7,0,4
1,0,0,0
0,0,0,0
1,0,1,0
28,5,0,21
12,9,2,7
16,19,7,2
0,0,0,0
33,4,2,4
14,7,1,7
1,0,0,1
2,0,1,0
41,7,2,14
6,5,2,2
19,15,3,11
0,0,0,0
4,5,0,0
3,0,1,0
0,0,0,0
17,12,0,12
9,2,1,0
0,0,0,0
6,5,1,1
2,1,0,3
3,1,0,1
23,10,0,5
1,1,0,1
13,7,2,6
10,5,0,5
11,7,3,4
5,6,0,2
16,9,5,14
21,5,0,2
29,7,2,11
29,10,1,13
1,0,0,0
21,3,1,11
1,1,0,0
11,6,0,6
3,0,0,1
4,0,1,1
0,0,0,0
5,2,3,1
1,0,0,0
0,0,0,0
4,1,3,2
2,0,0,1
4,0,2,0
11,2,3,5
5,3,0,2
5,2,1,1
23,10,0,4
0,0,1,0
