CS,G,H,Player,OPS,R,GIDP
0,1,0,E Eadington,0.0,0,0
4,37,29,K Carter,0.71,16,2
4,42,35,L Roenicke,0.606,21,3
1,39,31,Y Balaguert,0.494,10,8
3,97,111,C Walsh,0.949,69,7
2,62,50,R De La Cruz,0.535,21,12
1,90,66,P Guerrero,0.672,38,2
3,116,148,J Smith,0.82,70,5
0,27,17,J Shin,0.488,13,5
6,107,113,D Leachman,0.708,51,10
0,108,95,K Patterson,0.805,48,11
8,60,63,J Berti,0.753,35,3
4,51,36,W Soto,0.626,20,2
0,8,2,P Smith,0.282,3,0
2,43,25,K Sweeney,0.504,13,6
2,49,59,T Rahmatulla,0.936,37,2
9,104,106,G Hopkins,0.7,45,11
6,113,104,L Mateo,0.732,70,8
1,19,16,E Corcino,0.621,9,0
2,58,70,A Yarbrough,0.73,35,10
0,1,0,S Gruver,0.0,0,0
0,29,16,D Vasquez,0.44,5,4
10,112,109,B Crocker,0.716,56,8
1,58,41,Y Cabezas,0.478,14,8
1,12,10,J Leblebijian,0.596,7,2
3,6,11,L Washington,1.043,8,0
0,29,34,N Baligod,0.814,20,2
6,105,65,T Grimes,0.653,50,3
0,23,22,B Henry,0.59,7,2
1,102,111,R Wright,0.767,53,4
9,96,94,A Hedges,0.785,44,8
0,7,8,A Edge,1.101,1,1
8,123,92,J Baldwin,0.627,62,2
4,44,28,J Parr,0.498,19,1
0,6,2,J Vega-Rosado,0.221,1,1
1,43,33,M Hernandez,0.548,18,3
10,95,88,D Hazlett,0.74,52,3
0,59,54,C McElroy,0.682,19,6
0,23,15,K David,0.496,9,1
2,37,21,N Pritchard,0.564,21,1
0,96,95,N Ramirez,0.741,46,9
1,74,52,R Neda,0.602,13,6
1,90,71,S Opitz,0.599,42,2
5,52,40,D Tate,0.547,26,6
1,9,6,J Ewing,0.532,1,1
1,24,16,T Bowe,0.53,8,1
0,1,0,C Pierce,0.0,1,0
0,8,6,G Apelian,0.626,4,0
1,26,18,B Dailey,0.527,10,1
1,35,27,B Rademacher,0.575,16,2
2,28,13,C Lugo,0.483,8,0
4,66,77,K Cowart,0.827,42,8
0,31,17,T Roberts,0.613,9,2
0,3,4,T Wrenn,0.9,2,0
6,74,63,J Sale,0.855,35,5
0,2,0,J Rodriguez,0.2,1,0
2,75,64,M Scioscia,0.574,28,7
12,127,135,B Macias,0.811,83,13
2,64,70,K Jenkins,0.793,34,3
0,40,26,Z Maggard,0.593,17,5
0,7,3,A Lewis,0.389,1,1
8,76,84,N Roberts,0.86,60,10
0,14,5,C De Los Santos,0.638,4,0
4,65,66,E Inciarte,0.797,36,4
3,57,71,J Baez,0.979,41,3
1,16,20,C Oberacker,0.927,14,2
4,70,77,E Mesa,0.738,36,7
0,19,15,K Schutz,0.61,7,1
14,125,122,J Perez,0.734,64,9
11,114,124,J Hager,0.757,63,15
3,52,41,R Reyes,0.626,21,4
0,19,13,B Guinn,0.496,4,2
0,5,1,J Parks,0.188,0,0
0,11,9,S Roberts,0.636,3,0
2,25,29,A Giansanti,0.696,9,2
4,136,135,C Ellison,0.638,90,7
0,6,4,T Van Winkle,0.348,2,0
0,8,6,K Castillo,0.692,5,0
4,48,28,J Dishon,0.662,19,2
1,9,6,C Bushyhead,0.509,2,0
3,89,77,M Koch,0.77,47,4
2,64,74,E Groff,0.74,31,5
2,78,54,R Consigli,0.628,27,4
2,31,15,J Boudreaux,0.462,13,1
8,75,62,C George,0.553,28,4
5,75,72,A Bryant,0.58,32,10
0,11,6,M Bradley,0.536,5,1
0,93,84,A Lavisky,0.718,44,8
3,48,30,M Brisker,0.574,23,3
1,8,7,B Billigen,0.693,2,2
1,12,14,L Castillo,0.869,12,0
0,74,55,N O'Shea,0.529,24,8
0,6,3,A Torres,0.442,1,0
2,71,75,C Perez,0.804,48,8
0,68,61,P Leyland,0.55,18,5
7,59,67,T Jankowski,0.687,32,4
3,105,116,J Bonifacio,0.768,54,12
0,5,2,J Wooten,0.393,1,0
1,64,60,S Baron,0.657,29,5
2,38,37,D Robinson,0.908,25,1
2,19,25,K Muller,0.94,17,2
5,65,70,Y Rodriguez,0.737,35,3
1,5,5,D Pompey,0.579,1,0
1,102,114,R Morla,0.785,63,12
0,28,18,C Schaeffer,0.666,14,1
2,81,71,P Maynard,0.67,34,6
6,106,105,O Dickson,0.845,63,7
0,17,10,C Murphy,0.452,9,2
5,29,9,C Adamson,0.405,7,3
2,93,79,A Pettersen,0.632,51,3
0,4,4,K Marte,0.661,3,0
5,79,78,Z Borenstein,0.824,42,6
0,3,0,M Cairo,0.0,0,0
1,25,16,G Wittels,0.552,6,3
0,66,72,J Rogers,0.88,39,8
14,127,120,P Chen,0.692,75,11
4,64,58,J Lopez,0.543,30,4
0,38,23,E Escobar,0.471,8,4
2,38,17,D Morales,0.453,12,3
11,132,139,D Vettleson,0.772,80,14
0,2,3,B Wiley,0.778,2,1
2,78,69,A Burns,0.815,57,2
