AST%,TOV%,BLK%,GmSc,TS%
12.1,0.0,5.3,2.9,1.000
4.6,0.0,12.3,5.4,.286
7.1,20.0,5.9,3.9,.500
17.7,50.0,0.0,2.8,1.000
0.0,50.0,0.0,1.0,1.000
4.1,14.5,5.6,8.4,.680
0.0, ,8.5,-0.1, 
0.0,0.0,4.3,0.4,.200
0.0,50.0,0.0,-1.8,.000
13.8,0.0,11.7,7.8,.500
0.0,0.0,5.1,1.9,.250
21.1,50.0,10.7,4.4,1.000
0.0,0.0,5.2,4.5,1.000
0.0, ,0.0,0.0, 
0.0,25.0,6.4,2.0,.333
0.0,50.0,0.0,-1.0,.000
10.7,33.3,4.2,9.7,.625
0.0,50.0,0.0,1.3,1.000
0.0, ,0.0,-0.8, 
0.0,0.0,0.0,-1.1,.000
0.0,25.4,0.0,2.1,.425
0.0,14.3,0.0,1.4,.500
5.1,55.6,8.9,3.0,.750
0.0,100.0,0.0,0.0, 
