TOV%,DRB%,eFG%,TRB%,AST%,DRtg,Rk
0.0,0.0,.500,0.0,0.0,125,6
17.0,14.6,.250,13.5,31.6,120,23
 ,0.0, ,0.0,0.0,140,51
33.8,16.3,.400,7.8,7.0,108,27
 ,0.0, ,0.0,100.0,127,50
100.0,0.0, ,0.0,0.0,100,11
34.7,0.0,.000,11.4,0.0,118,9
 ,30.8, ,12.5,0.0,94,43
0.0,0.0,.200,6.6,13.8,134,19
0.0,0.0,1.000,0.0,0.0,103,45
16.8,18.2,.750,12.3,8.9,111,15
 ,32.4, ,15.4,0.0,97,25
0.0,50.0,.000,20.5,0.0,114,52
0.0,0.0,.000,0.0,31.6,101,7
0.0,0.0,.000,59.3,0.0,110,32
100.0,0.0, ,0.0,0.0,108,44
 ,0.0, ,0.0,0.0,123,24
 ,0.0, ,0.0,100.0,109,30
100.0,0.0, ,0.0,0.0,136,47
0.0,0.0,.375,9.5,16.1,119,26
 ,0.0, ,0.0,0.0,118,40
16.7,11.8,.533,7.6,5.8,117,16
 ,22.3, ,11.4,0.0,98,36
50.0,0.0,1.000,27.0,0.0,104,5
 ,0.0, ,0.0,0.0,17,1
61.5,52.0,.000,27.0,0.0,104,49
14.3,32.7,.667,16.8,0.0,86,13
0.0,0.0,1.000,0.0,0.0,83,39
14.3,10.9,.167,4.7,0.0,109,3
0.0,0.0,.500,0.0,0.0,123,48
