Rk,RAA,Rpos,Rbat,Rbaser,Tm,WAR,PA
75,-9,2,-8,0,PHI,-0.6,113
236,5,-3,4,-0,NYG,2.0,526
63,2,8,-6,0,BRO,0.2,72
162,0,0,0,0,BSN,0.0,0
4,-8,-3,-3,-0,CIN,0.7,527
92,1,1,0,0,STL,0.1,9
60,-1,1,-3,0,BSN,-0.1,12
132,-2,-6,3,-0,PHI,1.6,637
212,-0,1,-1,0,PIT,-0.1,7
139,-1,9,-10,0,CIN,-0.1,83
117,34,10,0,-0,NYG,5.4,626
53,-14,2,-15,-0,BRO,-0.6,279
46,-1,5,-5,0,BSN,-0.1,46
119,-14,-2,-9,0,2TM,-1.0,132
32,-8,8,-17,0,CHC,-0.9,79
17,-5,13,-18,0,NYG,-0.5,123
239,-2,0,-1,0,CIN,-0.2,3
57,-0,6,-6,0,CIN,-0.1,55
41,-3,8,-11,0,BRO,-0.3,72
16,0,7,-7,0,PHI,0.0,69
111,-0,1,-1,0,CHC,-0.0,6
88,12,15,-2,-0,PIT,1.2,140
86,3,1,2,0,PHI,0.3,10
90,-0,0,-0,0,NYG,-0.0,1
193,-1,9,-10,0,CHC,-0.1,83
28,-28,-5,-18,-0,BSN,-1.1,568
127,-5,-0,-4,0,CHC,-0.3,57
104,-7,1,-8,-0,BRO,-0.2,155
55,-3,7,-10,0,BSN,-0.3,66
47,3,5,-9,-0,CIN,2.3,697
52,4,5,-1,0,PIT,0.4,48
176,-7,9,-17,0,BRO,-0.8,87
101,-2,-2,1,0,CHC,0.3,159
208,20,-6,25,-1,CHC,3.8,591
128,13,-3,16,0,PHI,2.2,275
69,0,11,-11,0,NYG,0.0,103
168,-6,-1,-5,-0,PHI,-0.4,71
240,-7,5,-5,0,PHI,1.2,636
98,0,-1,1,0,2TM,0.4,132
49,3,0,3,0,NYG,0.4,32
216,-24,5,-16,-0,PHI,-0.5,700
144,1,0,0,0,NYG,0.1,1
140,-1,-0,-1,0,PHI,-0.1,18
138,7,8,-1,0,CIN,0.7,78
36,-0,4,-4,0,2TM,-0.0,33
154,1,0,0,0,PIT,0.1,4
248,2,7,0,-0,PIT,1.5,443
23,34,-7,50,-1,STL,5.3,667
81,-11,1,-14,-0,BRO,-0.6,171
72,2,10,-29,0,CIN,1.9,572
152,-0,-0,-0,0,BSN,-0.0,5
77,0,0,-0,0,NYG,0.0,2
26,12,-6,17,0,BRO,3.0,610
146,-1,7,-17,-0,STL,1.2,413
102,-8,1,-8,-0,PIT,-0.4,140
93,-2,10,-12,0,STL,-0.2,98
45,-8,1,-8,0,BSN,-0.7,53
61,0,1,-1,0,CIN,0.1,10
219,-0,0,-1,0,BSN,-0.0,2
211,1,6,-5,0,PHI,0.1,56
56,-3,3,-6,0,BRO,-0.3,28
87,-6,5,-10,0,BSN,-0.6,44
65,-40,9,-37,-0,BSN,-2.5,533
43,7,4,-9,-0,NYG,2.4,548
200,6,-5,15,-1,BSN,2.2,537
106,18,-6,25,0,BRO,3.4,542
123,-1,6,-7,-0,CHC,-0.1,60
151,-4,1,-8,0,CHC,0.0,143
201,4,11,-7,-0,BSN,0.4,99
33,-2,2,-5,-0,CHC,0.3,201
136,-2,1,-3,0,STL,-0.2,11
225,2,12,-10,0,BRO,0.1,109
249,-11,-2,-7,0,2TM,-0.7,138
58,11,-4,1,-1,STL,3.1,752
129,3,9,-6,0,CIN,0.3,80
74,-7,2,-6,0,2TM,-0.3,162
110,25,4,20,1,NYG,3.9,470
108,2,10,-8,0,PIT,0.2,93
30,-3,-1,1,-0,BSN,0.2,160
177,3,3,-0,0,CIN,1.4,358
125,-11,-1,-9,0,PHI,-0.9,80
48,-0,0,-0,0,BSN,-0.0,3
209,-5,-0,-1,0,CIN,-0.1,154
142,-0,11,-11,0,CHC,-0.0,102
215,-7,3,-13,0,STL,-0.2,197
164,-8,-1,-8,-0,BSN,-0.2,180
197,1,2,-1,0,NYG,0.1,16
158,-0,0,-0,0,BSN,-0.0,1
190,-2,12,-14,0,CIN,-0.2,110
243,-1,0,-1,0,STL,-0.1,10
148,2,3,-2,0,CIN,0.2,30
250,0,0,0,0,CHC,0.0,0
178,-8,-3,-4,0,CIN,0.1,308
124,0,0,0,0,STL,0.0,0
147,-1,-0,-0,0,STL,-0.1,16
241,1,-3,7,0,PHI,1.0,303
115,-4,5,-9,0,NYG,-0.4,50
54,-8,-0,-7,-0,PHI,-0.4,120
29,1,0,0,0,NYG,0.1,2
175,-5,1,-2,-0,BRO,-0.2,91
207,-14,-1,-10,-0,BRO,-0.8,199
22,0,0,0,0,BSN,0.0,0
141,2,5,-23,-0,CHC,2.1,639
223,-8,-2,-7,-0,BRO,-0.2,229
78,-4,7,-11,0,PIT,-0.4,62
180,-0,-0,-0,0,NYG,-0.0,1
238,1,-0,1,0,BRO,0.1,26
24,5,6,-1,0,PIT,0.5,54
94,1,2,-1,-0,CIN,0.7,215
242,-1,0,-1,0,BSN,-0.1,2
35,-6,-3,-1,-0,CIN,0.2,284
205,-0,0,-0,0,PIT,-0.0,1
179,-1,1,-3,0,CIN,-0.0,38
59,-4,4,-6,-1,CIN,1.3,571
5,3,3,-0,0,CIN,0.3,33
206,-12,1,-12,-0,2TM,-0.8,132
82,-0,0,-1,0,BSN,-0.0,2
130,-1,1,-2,0,BRO,-0.1,9
112,-0,1,-1,0,BSN,-0.0,6
51,-4,2,-5,0,2TM,0.2,188
186,-3,7,-10,0,STL,-0.3,70
44,-3,-2,-1,-0,PIT,0.3,198
156,-2,3,-5,0,PHI,-0.2,29
169,-0,0,-0,0,PIT,-0.0,1
143,-5,0,-5,0,STL,-0.4,40
6,-1,2,-3,0,CIN,-0.1,16
198,4,-2,6,-0,PIT,1.0,203
199,5,11,-6,-0,STL,0.5,101
210,-8,0,-8,0,CIN,-0.7,56
182,-0,-3,0,0,CIN,0.7,252
91,33,-6,37,-0,STL,5.0,584
14,-1,0,-1,0,CIN,-0.1,3
213,-14,4,-17,0,BSN,-0.1,441
42,-0,0,-1,0,2TM,-0.1,3
114,73,5,80,-0,BSN,8.8,621
149,2,3,-1,0,CIN,0.2,27
76,22,5,9,2,STL,4.1,631
174,-0,0,-1,0,BSN,-0.0,2
99,30,4,25,-0,CHC,4.4,464
121,-1,4,-5,0,STL,-0.1,42
220,16,4,11,-1,PIT,3.4,640
150,-4,4,-8,0,PHI,-0.4,39
172,3,-1,4,0,STL,0.5,84
3,7,10,-4,0,STL,0.7,98
62,0,2,-1,0,BRO,0.1,14
37,-10,-3,-9,1,BRO,-0.0,352
202,-5,1,-7,0,2TM,-0.0,167
80,-5,10,-15,0,2TM,-0.5,98
160,-11,-2,-11,0,BSN,-0.4,244
34,-1,1,-2,0,PHI,-0.1,11
19,-2,-1,0,0,STL,0.2,111
227,-3,3,-5,0,NYG,-0.3,24
163,2,3,-1,0,BRO,0.2,25
231,3,-4,9,-1,PIT,2.2,719
159,-5,7,-12,0,2TM,-0.5,65
161,-1,0,-1,0,CHC,-0.1,4
