R,CS,SB,POS,G,H
0,0,0,C,4,0
1,0,0,P,18,1
0,0,0,P,6,0
8,0,1,OF,28,17
58,7,15,3B,128,134
11,1,2,OF,13,16
36,0,1,1B,68,62
49,0,1,RF,114,118
1,0,0,P,1,1
65,4,12,CF,87,110
0,0,0,P,24,1
53,8,4,RF,112,115
17,1,0,C,45,41
0,0,0,P,4,0
1,0,0,P,8,1
0,0,0,P,1,0
9,0,1,1B,23,27
0,0,0,P,10,0
47,7,16,CF,70,71
17,5,3,OF,54,34
7,0,1,C,23,22
5,0,1,SS,4,7
0,0,0,P,7,0
0,0,0,P,6,0
0,0,0,C,1,0
0,0,0,P,1,0
0,0,0,P,19,1
35,1,1,C,92,76
1,0,0,OF,3,3
45,5,8,1B,67,66
46,3,5,1B,121,115
3,0,0,C,3,1
10,5,1,CF,24,22
44,4,22,SS,93,82
0,0,0,P,5,1
89,0,0,3B,136,148
12,0,0,C,19,31
67,2,4,3B,127,115
49,2,2,C,69,86
15,0,0,C,35,31
47,3,2,3B,108,91
0,0,0,P,12,0
0,0,0,P,10,0
0,0,0,C,3,3
72,2,4,OF,106,140
49,5,1,2B,87,86
69,12,15,2B,127,128
42,6,7,1B,106,84
0,0,0,P,7,0
2,0,0,OF,4,4
57,9,11,RF,101,109
0,0,0,P,22,0
51,3,5,RF,105,100
0,0,0,P,10,3
5,0,0,SS,5,7
0,0,0,P,5,1
32,0,1,C,96,84
0,0,0,P,1,0
68,1,1,OF,119,124
24,1,2,C,68,51
59,2,6,3B,103,126
75,4,5,1B,132,160
4,0,0,1B,28,13
0,0,0,P,18,0
21,1,8,OF,42,46
1,0,0,P,8,0
19,4,1,OF,70,64
27,1,4,C,68,51
38,3,7,DH,108,81
61,5,1,LF,114,90
5,0,1,3B,10,11
82,16,54,SS,118,142
0,0,0,P,4,1
6,1,1,OF,7,5
26,4,8,SS,59,54
58,10,19,LF,118,125
0,0,0,P,7,0
11,1,2,2B,26,28
13,0,0,1B,26,30
0,0,0,P,13,0
46,5,13,LF,63,86
0,0,0,P,4,0
1,0,0,P,8,0
43,0,5,3B,84,107
0,0,0,P,12,0
4,0,0,C,10,7
1,0,0,P,8,3
12,1,3,SS,22,20
1,0,0,P,10,0
44,4,8,DH,61,68
11,0,1,C,35,21
23,4,2,DH,49,45
31,4,11,CF,61,57
0,0,0,P,11,3
38,1,6,SS,73,67
0,0,0,P,18,0
84,1,2,3B,129,154
5,0,1,3B,6,8
6,0,0,SS,18,21
0,0,0,P,6,0
65,16,59,2B,108,113
34,1,15,2B,64,77
1,0,0,SS,2,1
0,0,0,P,5,0
102,7,20,2B,133,165
22,0,0,2B,67,62
30,2,14,CF,52,44
19,0,0,OF,24,31
2,0,0,P,2,2
31,7,7,2B,86,50
0,0,0,P,2,0
66,2,18,DH,91,102
42,1,20,SS,50,53
50,3,4,3B,93,87
1,0,0,OF,9,4
1,0,0,P,8,1
6,0,1,C,16,10
4,1,1,OF,13,7
