RBI,GIDP,SF,SH,CS,R
52,7,1,9,8,51
24,2,2,5,2,26
15,3,0,0,1,27
5,0,0,1,1,5
41,8,2,6,7,47
4,1,0,2,0,8
6,3,0,0,1,7
49,1,3,4,14,80
1,0,0,0,0,1
29,9,2,7,11,50
38,9,2,5,4,43
38,13,2,5,2,39
6,3,0,2,0,14
8,1,0,0,5,12
31,4,1,0,0,30
45,6,2,9,9,65
20,7,2,1,5,32
43,7,2,0,6,58
5,1,0,1,1,5
40,10,1,0,5,47
1,0,0,0,0,0
21,4,3,3,3,15
14,10,0,1,1,17
11,1,1,0,1,18
70,6,3,2,0,66
0,0,0,0,0,0
17,3,3,8,3,29
14,3,2,5,1,7
17,3,1,1,4,22
18,7,3,6,7,28
5,2,1,3,1,6
0,1,0,0,0,0
69,6,1,4,4,65
0,0,0,0,0,1
0,0,0,0,0,0
38,5,2,6,4,51
75,11,3,0,6,64
1,1,0,0,0,0
24,4,2,3,1,31
1,0,1,0,1,0
8,1,0,1,0,10
1,0,0,0,1,0
61,4,8,1,1,45
0,1,0,0,0,0
0,0,0,0,0,2
31,3,3,0,3,29
5,1,0,0,0,11
5,0,0,1,0,3
11,2,2,1,5,16
53,11,5,0,2,39
24,2,1,0,2,25
41,3,5,0,3,41
44,20,2,4,1,59
37,3,4,3,4,34
45,5,4,2,2,25
0,0,0,1,0,1
1,0,0,0,0,3
30,3,1,0,3,31
25,4,3,7,4,45
12,6,0,3,3,18
40,5,2,0,0,42
9,2,1,3,7,17
0,0,0,0,0,0
0,0,0,0,0,0
6,2,1,2,0,7
55,8,7,7,2,53
37,8,5,2,2,31
48,9,6,9,6,42
1,0,0,0,0,2
14,2,3,4,5,19
16,2,2,1,0,18
1,1,0,3,2,7
32,10,2,5,8,42
61,8,5,0,5,61
7,2,0,0,1,10
10,1,1,1,3,10
19,7,1,1,3,38
51,4,6,0,1,35
65,10,4,0,7,76
13,6,2,8,1,18
0,0,0,0,0,0
11,6,0,0,0,10
33,4,7,7,8,47
13,3,0,0,1,5
72,1,4,1,7,62
5,2,0,1,1,15
2,0,0,0,0,3
2,0,0,0,0,3
12,2,0,2,1,10
24,4,2,1,2,20
6,4,1,0,1,9
38,9,3,1,7,68
75,7,5,0,6,65
7,1,0,1,0,10
35,3,5,5,4,36
48,9,4,0,0,43
1,1,0,0,0,1
0,1,0,0,0,0
2,1,0,0,0,1
