OBP,3B,Team,SF,2B,Player,H,BB,OPS,AB
0.3,0,BRE,2,9,M Maldonado,50,30,0.559,251
0.258,0,DAY,3,5,L Flores,24,16,0.462,142
0.364,0,DAY,0,0,F Guzman,5,3,0.627,19
0.292,0,BRE,0,1,C Corporan,12,1,0.574,46
0.321,0,CHA,5,17,R Fronk,69,47,0.607,343
0.395,3,TAM,2,7,A Krum,52,35,0.735,191
0.278,2,LAK,4,13,J Laster,68,19,0.688,295
0.383,0,FTM,1,2,A de San Miguel,21,21,0.668,91
0.243,0,DUN,1,1,L Sanchez,12,5,0.437,67
0.326,5,CLR,2,9,J Diaz,93,39,0.647,368
0.343,3,CHA,3,7,N Ashley,48,22,0.678,200
0.33,2,CHA,3,18,S Williams,78,30,0.673,317
0.295,2,CLR,6,13,F Hernandez,125,20,0.609,472
0.375,0,DUN,0,1,A Quintana,1,2,0.708,6
0.319,3,PMB,6,15,C Smith,106,15,0.742,371
0.364,1,LAK,1,2,M Leon,8,4,0.792,28
0.313,2,CHA,7,7,G Sexton,58,25,0.64,238
0.381,0,PMB,2,5,P Kozma,23,8,0.765,73
0.383,0,SAR,2,13,Y Alonso,53,24,0.88,175
0.305,0,SAR,1,8,J Bour,41,8,0.658,156
0.333,1,JUP,5,25,M Dominguez,100,38,0.753,381
0.359,2,JUP,1,9,T Torres,35,15,0.76,127
0.345,0,SAR,0,0,K Negron,5,5,0.678,24
0.37,2,TAM,4,15,K Smith,69,19,0.788,218
0.297,2,SAR,3,18,A Buchholz,79,23,0.617,334
0.367,4,PMB,2,11,S Peterson,85,21,0.795,285
0.184,1,LAK,0,0,J Cruz,6,1,0.4,37
0.256,0,JUP,1,1,S Perez,21,10,0.497,116
0.129,0,SAR,0,0,S Chapman,3,0,0.229,30
0.319,0,DUN,3,11,J Jaspe,71,17,0.735,262
0.286,1,JUP,1,0,D Garcia,2,0,0.952,6
0.352,4,STL,2,17,H Pellot,98,37,0.725,354
0.259,0,DAY,2,6,D Johnston,32,18,0.548,173
0.274,1,DUN,0,4,C Emanuele,15,7,0.708,76
0.538,1,CHA,0,0,J Bartlett,5,2,1.175,11
0.286,0,LAK,0,0,J Rodriguez,2,0,0.571,7
0.295,1,DAY,0,10,J Wyatt,92,35,0.572,396
0.362,3,TAM,3,10,L Nunez,48,14,0.824,158
0.297,1,SAR,1,8,C Kainer,58,9,0.636,218
0.34,3,DAY,2,17,S Castro,108,19,0.731,358
0.33,7,FTM,1,11,E De Los Santos,76,13,0.727,262
0.326,1,LAK,2,9,C Carlson,57,29,0.77,241
0.4,5,DAY,3,13,R Chirinos,68,35,0.946,227
0.5,1,STL,1,1,M Watson,4,2,1.278,9
0.154,0,PMB,0,1,L De La Cruz,2,0,0.385,13
0.376,3,STL,1,17,I Davis,64,31,0.863,222
0.267,0,DAY,1,5,J Jones,21,11,0.491,116
0.311,0,SAR,0,16,J Kahaulelio,52,15,0.64,216
0.388,0,JUP,2,7,L Ott,61,39,0.728,218
0.222,1,BRE,0,0,D Alfonso,6,0,0.519,27
0.375,0,CHA,0,4,P Powell,24,9,0.729,79
