Date,a,cs,r,sf,ab,2b,sb,ibb
"May 18, 2012",15,1,9,1,39,0,1,0
"Apr 07, 2012",11,0,8,0,36,2,6,0
"Apr 14, 2012",8,0,8,2,31,1,0,0
"Mar 17, 2012",11,0,4,0,29,1,1,0
"May 16, 2012",8,0,7,0,34,1,0,1
"Apr 06, 2012",11,0,9,1,37,4,3,0
Totals,492,14,330,17,1579,81,55,14
"Feb 24, 2012",14,0,3,0,33,0,0,0
"Apr 15, 2012",7,0,16,0,37,3,2,0
"Feb 25, 2012",10,1,6,1,29,2,3,0
"Feb 17, 2012",13,1,4,0,32,3,1,0
"Apr 01, 2012",10,0,6,0,36,3,1,0
"Mar 24, 2012",10,0,11,1,36,2,0,0
"Apr 10, 2012",12,0,12,0,45,2,3,1
"Mar 18, 2012",13,1,8,1,38,1,1,1
"Mar 04, 2012",4,0,2,0,24,2,1,0
"Mar 25, 2012",12,0,5,0,34,1,1,2
"Feb 10, 2012",11,2,5,0,30,0,0,0
"Apr 21, 2012",9,1,10,1,31,1,1,3
"Mar 11, 2012",8,1,16,0,34,5,2,0
"Mar 10, 2012",6,0,4,0,31,1,2,0
"Mar 27, 2012",14,1,1,0,33,1,0,0
"Feb 28, 2012",16,0,6,1,36,3,1,1
"Feb 11, 2012",11,0,7,0,37,1,1,0
"Apr 14, 2012",11,1,6,1,31,1,0,0
