Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,G,AST,PIM,P/M,SOG
1998 Winter,20,Nagano,Ice Hockey,Russia,RUS,Final Standings, ,2,1998-02-07, ,2,2,0,1,8
1998 Winter,20,Nagano,Ice Hockey,Russia,RUS,Final Round,Match 1/2,2,1998-02-22,"CZE 1, RUS 0",0,0,0,0,1
1998 Winter,20,Nagano,Ice Hockey,Russia,RUS,Semi-Finals,Match #1,1,1998-02-20,"RUS 7, FIN 4",0,0,0,0,0
1998 Winter,20,Nagano,Ice Hockey,Russia,RUS,Quarter-Finals,Match #2,1,1998-02-18,"RUS 4, BLR 1",1,0,0,1,3
1998 Winter,20,Nagano,Ice Hockey,Russia,RUS,Group C,Match #2,1,1998-02-13,"RUS 9, KAZ 2",0,2,0,0,1
1998 Winter,20,Nagano,Ice Hockey,Russia,RUS,Group C,Match #3,1,1998-02-15,"RUS 4, FIN 3",1,0,0,0,1
1998 Winter,20,Nagano,Ice Hockey,Russia,RUS,Group C,Match #6,1,1998-02-16,"RUS 2, CZE 1",0,0,0,0,2
2010 Winter,32,Vancouver,Ice Hockey,Russia,RUS,Final Standings, ,6,2010-02-16, ,2,0,0,0,8
2010 Winter,32,Vancouver,Ice Hockey,Russia,RUS,Quarter-Finals,Match #4,2,2010-02-24,"CAN 7, RUS 3",0,0,0,-2,1
2010 Winter,32,Vancouver,Ice Hockey,Russia,RUS,Group B,Match #1,1,2010-02-16,"RUS 8, LAT 2",1,0,0,3,3
2010 Winter,32,Vancouver,Ice Hockey,Russia,RUS,Group B,Match #3,2,2010-02-18,"SVK 2, RUS 1",1,0,0,0,2
2010 Winter,32,Vancouver,Ice Hockey,Russia,RUS,Group B,Match #6,1,2010-02-21,"RUS 4, CZE 2",0,0,0,-1,2
