Player,Pos,HT,WT,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,TRB,APG,SPG,BPG,PPG
Besnik Bekteshi,PG,6-2,174,14,5.7,0.5,1.1,.467,0.1,0.5,.143,0.2,0.3,.750,0.6,1.1,0.1,0.4,0.4,0.2,0.2,0.0,1.3
Wayne Bernard,SG,6-3,191,34,26.4,2.5,6.4,.387,1.3,3.6,.347,1.3,1.5,.843,1.1,3.0,0.7,1.4,2.1,1.9,1.6,0.0,7.5
Marqus Blakely,F,6-5,225,11,24.1,4.5,8.6,.516,0.3,0.6,.429,2.3,4.2,.543,3.0,2.7,2.5,3.9,6.5,2.2,0.7,1.2,11.5
Eric Coleman,PF,6-6,240,14,22.2,4.5,7.4,.612,0.0,0.1,.000,2.0,2.8,.718,1.6,3.2,1.6,4.7,6.4,1.0,0.4,0.4,11.0
Ivan Elliott,F,6-8,228,25,26.6,2.8,7.1,.399,1.2,3.6,.333,0.8,1.2,.645,1.0,2.6,1.5,3.5,5.0,1.0,0.9,0.2,7.7
Nedim Hadzovic,C,6-9,231,3,2.2,0.3,0.3,1.000,0.0,0.0,.000,0.3,0.7,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Stefan Ilzhofer,SF,6-7,194,1,3.8,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,.000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Jackson,SG,6-2,181,34,25.5,3.2,7.6,.417,1.9,4.6,.404,1.2,1.5,.804,1.2,2.2,0.4,1.3,1.6,1.4,0.7,0.1,9.4
Johannes Joos,F,6-8,210,3,3.0,0.0,0.3,.000,0.0,0.0,.000,0.0,0.7,.000,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0
Tim Koch,SF,6-5,198,19,9.5,0.7,1.5,.500,0.5,1.3,.417,0.0,0.0,.000,0.5,0.9,0.3,0.5,0.8,0.4,0.1,0.0,2.0
Justin Konietzke,C,6-8,207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jonathan Maier,C,6-11,207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jurek Olden,C,6-8,209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lucca Staiger,SG,6-5,205,32,30.9,3.9,9.2,.422,2.5,6.6,.379,1.9,2.2,.871,1.5,2.1,0.5,2.7,3.2,1.9,0.9,0.0,12.2
Kammron Taylor,G,6-2,175,19,29.1,4.6,11.7,.392,1.1,3.5,.303,3.0,3.4,.891,2.4,1.5,0.2,1.9,2.1,3.4,0.8,0.0,13.2
John Turek,PF,6-9,245,34,26.0,5.3,10.4,.511,0.1,0.6,.227,3.1,4.5,.704,2.1,3.6,1.8,4.4,6.2,1.4,0.6,0.9,13.9
David Weaver,C,6-10,250,18,17.2,2.0,4.2,.474,0.0,0.2,.000,1.5,1.7,.900,1.4,2.9,1.4,1.9,3.3,0.7,0.3,0.6,5.5
Max Weber,SF,6-7,213,32,15.5,1.0,2.6,.393,0.2,0.6,.300,1.1,2.0,.562,1.2,2.3,0.4,1.5,1.9,0.7,0.5,0.1,3.4
Lawrence Westbrook,G,6-0,185,4,21.6,3.0,7.8,.387,0.8,2.0,.375,1.5,2.0,.750,1.0,1.8,1.0,2.2,3.2,1.5,0.0,0.0,8.2
Derrick Zimmerman,G,6-3,195,10,26.7,3.3,7.1,.465,0.0,0.1,.000,2.1,3.6,.583,2.7,3.1,1.7,3.5,5.2,4.2,2.2,0.3,8.7
Robert Zinn,PG,6-4,176,2,3.5,0.5,0.5,1.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0
