Ticker,Name,Weight (%),Sector,Country,Shares,Market Value,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
1299,AIA GROUP LTD,18.84,Financials,Hong Kong,"100,560,000","$653,201,829",6.5,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"653,201,829.36"
1,CK HUTCHISON HOLDINGS LTD,9.59,Industrials,Hong Kong,"23,045,267","$332,388,661",14.42,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"332,388,661.41"
388,HONG KONG EXCHANGES AND CLEARING L,7.29,Financials,Hong Kong,"9,277,200","$252,774,632",27.25,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"252,774,631.52"
16,SUN HUNG KAI PROPERTIES LTD,6.55,Financials,Hong Kong,"14,665,000","$227,031,420",15.48,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"227,031,420.33"
1113,CHEUNG KONG PROPERTY HOLDINGS LTD,5.35,Financials,Hong Kong,"22,339,767","$185,603,926",8.31,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"185,603,926.39"
2,CLP HOLDINGS LTD,3.84,Utilities,Hong Kong,"15,712,700","$133,078,593",8.47,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"133,078,593.41"
11,HANG SENG BANK LTD,3.62,Financials,Hong Kong,"6,285,000","$125,434,860",19.96,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"125,434,859.73"
2388,BOC HONG KONG HOLDINGS LTD,3.54,Financials,Hong Kong,"30,377,500","$122,664,536",4.04,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"122,664,535.86"
3,HONG KONG AND CHINA GAS LTD,3.44,Utilities,Hong Kong,"58,660,466","$119,268,120",2.03,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"119,268,120.28"
823,LINK REAL ESTATE INVESTMENT TRUST,3.2,Financials,Hong Kong,"18,855,000","$111,042,689",5.89,Hong Kong Exchanges And Clearing Ltd,USD,HKD,7.75,"111,042,689.34"
