2B,POS,SO,SH,Team,AB,H,R
6,2B,24,5,SF,240,68,37
19,2B,58,4,CHC,580,178,85
0,2B,5,0,LAD,32,7,6
10,2B,38,2,NYM,316,85,33
13,2B,47,4,FLA,311,82,41
22,2B,115,1,MIL,475,111,89
0,2B,1,0,COL,4,0,0
5,2B,33,2,ARI,165,32,20
2,2B,17,1,COL,56,7,2
29,2B,62,3,ARI,407,124,54
12,2B,41,1,CHC,216,58,36
1,2B,3,0,MIL,14,2,1
9,2B,35,2,PHI,212,46,37
17,2B,43,0,STL,339,95,42
22,2B,58,1,WSH,296,85,37
7,2B,35,7,NYM,298,73,46
3,2B,3,0,NYM,16,4,0
22,2B,85,1,COL,299,80,55
1,2B,10,1,COL,61,14,5
22,2B,51,3,CHC,243,74,42
5,2B,28,0,HOU,104,27,11
0,2B,0,0,SF,1,0,0
3,2B,2,2,PIT,67,15,6
3,2B,21,1,MIL,75,16,13
0,2B,20,5,NYM,110,24,13
1,2B,1,0,PHI,10,1,1
37,2B,171,0,FLA,531,138,97
23,2B,52,0,LAD,440,123,42
1,2B,3,0,SD,16,6,4
41,2B,104,1,PHI,607,177,113
30,2B,106,2,CHC,505,144,103
9,2B,24,4,ARI,231,56,27
