Season,G,Min,FGM,FGA,FG%,3P,3PA,3PT%,FT,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,Pts
Tre Demps,31,1010,147,349,42.1,55,153,35.9,48,73,65.8,13,83,96,83,45,8,1,47,397
Alex Olah,31,907,132,268,49.3,9,37,24.3,89,118,75.4,59,154,213,48,53,19,57,79,362
Bryant McIntosh,31,1033,129,307,42.0,39,107,36.4,56,66,84.8,9,68,77,145,77,7,6,33,353
Vic Law,31,749,73,188,38.8,26,75,34.7,48,61,78.7,31,119,150,40,48,20,14,75,220
Sanjay Lumpkin,31,708,49,92,53.3,13,34,38.2,26,38,68.4,33,84,117,25,27,21,8,88,137
Scottie Lindsey,30,453,49,123,39.8,23,65,35.4,11,17,64.7,13,54,67,17,17,10,15,57,132
JerShon Cobb,20,462,42,105,40.0,23,64,35.9,14,20,70.0,7,61,68,33,19,4,1,35,121
Nathan Taphorn,23,249,35,66,53.0,18,37,48.6,4,6,66.7,9,16,25,12,12,4,0,25,92
Dave Sobolewski,30,324,21,55,38.2,16,45,35.6,22,26,84.6,3,20,23,20,9,9,1,41,80
Gavin Skelly,28,204,16,33,48.5,0,0,0.0,9,17,52.9,23,31,54,13,9,8,16,36,41
Jeremiah Kreisberg,24,155,8,18,44.4,0,0,0.0,9,14,64.3,14,14,28,4,13,1,2,26,25
Johnnie Vassar,17,68,6,17,35.3,1,5,20.0,0,3,0.0,2,5,7,8,7,2,0,13,13
Nick Segura,2,3,0,2,0.0,0,1,0.0,2,2,100.0,2,0,2,0,0,0,0,1,2
