GIDP,AB,OPS,OBP,CS,SLG,HR,POS,H
5,215,0.878,.385,1,.493,8,SS,67
1,34,0.535,.270,0,.265,0,LF,7
6,173,0.737,.367,0,.370,5,C,42
1,46,1.002,.436,0,.565,3,LF,15
0,43,0.666,.271,0,.395,2,LF,8
0,94,0.674,.270,0,.404,5,1B,21
0,5,0.4,.200,0,.200,0,RF,1
6,238,0.931,.380,0,.550,17,1B,68
5,156,0.707,.310,2,.397,5,1B,42
3,106,0.65,.339,4,.311,1,OF,25
3,215,0.684,.344,0,.340,2,3B,52
3,220,0.989,.394,1,.595,16,RF,70
0,0,0.0,--,0,--,0,P,0
0,10,0.473,.273,0,.200,0,CF,2
3,166,0.604,.333,2,.271,0,2B,38
0,0,0.0,--,0,--,0,P,0
3,85,0.693,.340,0,.353,2,C,23
8,161,0.653,.318,2,.335,5,1B,33
0,11,0.083,.083,0,.000,0,DH,0
14,194,0.652,.302,2,.351,2,DH,56
1,52,0.599,.310,0,.288,0,RF,13
0,35,0.494,.237,0,.257,1,RF,6
1,81,0.464,.241,1,.222,0,SS,16
1,44,0.661,.320,0,.341,1,LF,10
1,74,0.634,.337,1,.297,0,RF,15
4,208,0.816,.345,1,.471,9,3B,59
4,244,0.961,.425,1,.537,10,3B,80
1,17,0.748,.278,0,.471,1,C,4
2,94,0.779,.354,0,.426,0,C,31
4,112,0.693,.264,0,.429,4,RF,25
6,229,0.696,.308,0,.389,5,LF,61
5,230,0.759,.359,6,.400,9,RF,57
10,181,0.61,.322,0,.287,2,C,41
7,191,0.892,.363,4,.529,11,RF,58
0,11,0.364,.182,0,.182,0,1B,2
2,83,0.555,.242,0,.313,2,C,16
0,51,0.636,.283,1,.353,2,3B,9
0,3,0.0,.000,0,.000,0,OF,0
2,75,0.398,.184,1,.213,0,3B,13
10,242,0.848,.368,2,.479,12,LF,68
2,142,0.77,.369,6,.401,4,CF,41
4,172,0.651,.319,2,.331,2,RF,43
0,106,0.844,.391,0,.453,0,CF,37
1,95,0.788,.367,2,.421,3,CF,26
2,96,0.469,.250,0,.219,0,C,18
1,224,0.952,.385,0,.567,19,DH,60
0,67,0.78,.392,1,.388,1,CF,19
5,239,0.68,.316,1,.364,7,LF,55
1,87,0.629,.330,3,.299,1,RF,18
2,72,0.652,.263,1,.389,3,SS,16
7,234,0.704,.345,1,.359,3,2B,65
3,57,0.648,.262,0,.386,3,DH,13
4,131,0.783,.401,2,.382,0,C,38
1,20,0.633,.333,1,.300,0,C,6
1,60,0.62,.270,0,.350,1,C,14
0,15,0.533,.333,1,.200,0,OF,3
8,177,0.768,.338,1,.429,8,C,45
1,195,0.806,.340,2,.467,7,RF,57
1,85,0.768,.368,0,.400,4,LF,18
7,246,0.849,.357,1,.492,13,1B,71
7,186,0.889,.357,1,.532,14,1B,51
8,257,0.736,.343,4,.393,5,2B,75
5,170,0.758,.287,3,.471,9,RF,41
8,249,0.762,.372,6,.390,4,3B,74
0,39,0.449,.244,1,.205,0,3B,8
4,57,0.52,.274,0,.246,0,LF,12
1,13,0.599,.214,2,.385,1,OF,2
5,205,1.043,.399,2,.644,17,1B,68
2,51,0.601,.268,1,.333,2,CF,10
8,265,0.881,.338,0,.543,20,1B,71
5,104,0.941,.354,0,.587,7,SS,32
2,211,0.849,.404,4,.445,6,SS,62
2,62,0.567,.277,0,.290,0,C,15
0,2,0.0,.000,0,.000,0,P,0
0,17,0.535,.300,0,.235,0,2B,3
2,150,0.675,.321,0,.353,3,C,37
10,269,0.723,.311,2,.413,9,2B,71
9,237,0.749,.365,4,.384,3,CF,71
6,231,0.897,.417,0,.481,5,LF,75
0,0,0.0,--,0,--,0,P,0
6,75,0.604,.298,3,.307,1,SS,16
0,3,0.0,.000,0,.000,0,LF,0
10,177,0.603,.314,1,.288,0,2B,46
3,192,0.674,.310,3,.365,2,CF,49
1,87,0.704,.347,2,.356,0,3B,25
2,42,0.447,.233,0,.214,0,3B,9
0,54,0.548,.270,0,.278,2,C,8
0,11,0.364,.182,0,.182,0,LF,2
5,91,0.603,.284,0,.319,3,C,18
0,31,0.464,.270,0,.194,0,C,5
0,107,0.804,.374,1,.430,2,SS,30
6,225,0.852,.355,0,.498,10,2B,64
4,189,0.873,.354,1,.519,13,3B,48
0,0,0.0,--,0,--,0,P,0
11,210,0.851,.375,0,.476,12,C,53
3,108,0.829,.339,0,.491,8,1B,26
13,242,0.762,.362,3,.401,2,SS,76
0,70,0.635,.307,2,.329,1,RF,18
