TOV%,Opp,GS,DRB%,G,STL%
0.0,DEN,0,0.0,24,0.0
0.0,MIA,0,0.0,21,23.0
23.1,TOR,0,16.8,17,0.0
0.0,SAS,0,12.3,52,5.8
 ,MIN,0,0.0,6,0.0
50.0,CLE,0,14.9,20,0.0
0.0,LAC,0,0.0,8,0.0
0.0,SAS,0,0.0,13,0.0
0.0,DAL,0,24.5,51,0.0
0.0,HOU,0,16.3,44,0.0
0.0,IND,0,18.2,5,3.4
50.0,PHI,0,0.0,11,0.0
100.0,MIL,0,0.0,27,0.0
0.0,NYK,0,14.9,42,7.9
 ,GSW,0,0.0,48,0.0
33.3,BOS,0,15.2,18,7.5
0.0,TOR,0,0.0,38,27.3
0.0,MIN,0,0.0,50,0.0
40.0,NJN,0,0.0,16,5.8
33.3,POR,0,0.0,1,0.0
26.6,NJN,0,61.0,26,0.0
100.0,MIN,0,0.0,34,0.0
66.7,LAL,0,0.0,41,0.0
28.6,ORL,0,31.0,15,0.0
