OBP,OPS,GIDP,R,Player,BB
.354,.713,1,6,R Noland,4
.405,.961,2,7,N Papasan,1
.286,.571,1,1,F Bello,0
.265,.460,1,9,W Infante,8
--,--,0,0,P Roy,0
.384,.778,2,50,D De La Osa,37
.278,.650,2,14,M Kennelly,8
.360,.771,8,23,E Rosario,13
.306,.716,6,8,M Acosta,10
.288,.621,2,15,D Cruz,3
.167,.167,0,1,J Servidio,0
.411,.884,1,18,J Castillo,11
.261,.499,3,4,Y Reyes,2
.267,.600,0,2,R Lucas,3
.302,.529,3,4,D Heller,8
.235,.423,2,2,L Marchena,1
.314,.658,3,18,J Shaffer,9
.312,.653,2,12,L Mateo,3
.260,.478,2,15,G Soto,10
.350,.663,0,1,C Testa,4
.404,.779,0,4,S Perez,5
.286,.519,2,4,J Tarnow,8
.390,.780,4,27,C Doyle,22
.445,.832,5,17,B Lilley,16
.332,.731,3,41,R Fernandez,24
.345,.786,2,14,J Lanning,12
.312,.736,1,37,D Britton,12
.410,.839,4,23,A Cartwright,15
.360,.947,4,45,E Bigley,13
.350,.630,3,29,R Stevens,9
.295,.823,2,16,K Sams,11
.318,.485,1,1,L Sierra,4
.310,.625,0,11,P Pehrson,11
.310,.817,5,31,G Rodriguez,17
.266,.557,0,11,G Noriega,6
.257,.505,3,24,P Zapata,8
.372,.769,5,25,R Cardona,22
.259,.554,3,12,D Montas,10
.307,.632,3,32,J Aparicio,15
.316,.613,1,14,K Dubler,11
.320,.633,3,18,B Trinkler,18
.344,.964,2,23,A Soto,9
.341,.649,3,12,A Bonevacia,10
.308,.508,0,1,C Anderson,3
.289,.764,1,18,G Zavala,3
.354,.889,1,42,A Castellanos,8
.357,.740,1,30,B Short,16
.314,.626,2,19,J Rook,17
.266,.434,2,15,D Torrence,19
.300,.428,2,3,D Black,8
.333,.720,3,3,K Miller,6
.222,.444,0,0,K Hash,0
.265,.586,2,31,J Silverio,8
.380,.823,0,13,I Medrano,6
.371,.647,0,13,W White,6
.398,.837,0,12,Y Molina,16
.327,.570,1,5,S Buckridge,5
.277,.512,3,31,J Austin,19
.440,1.107,1,8,R Gress,1
.340,.712,2,17,J Garber,7
.299,.622,7,19,J Hage,5
.260,.543,6,19,F Cruz,3
.357,.766,2,42,J Greene,18
.282,.606,7,16,R Novas,14
.250,.513,4,16,I Alvarez,3
.299,.549,3,15,J Gutierrez,10
.382,.922,10,49,J Waltenbury,27
.388,.690,0,8,C Mojica,2
.310,.681,2,13,O Santos,3
.254,.617,2,18,D McNulty,8
.355,.731,3,25,B Conley,19
.238,.443,0,6,C Turner,2
.345,.855,2,24,J Vittek,10
.352,.842,7,36,W Flores,12
.279,.539,1,16,J Morales,13
.125,.192,0,3,M Olson,1
.615,1.615,0,3,J Satin,1
.357,.729,4,16,J Kateon,9
.462,.912,0,4,D Berres,6
.323,.727,5,42,L Ware,11
.416,.877,8,42,N Vasquez,29
.407,.868,7,28,J Fuentes,28
.253,.556,2,10,K Miles,3
.347,.778,1,25,R Tello,12
.000,.000,1,0,P Maat,0
.314,.635,1,27,A Franco,19
.383,.723,1,6,J Beckham,7
.343,.680,2,10,M Rigoli,12
.244,.474,4,7,L Bernardo,5
.366,.735,0,18,A Severino,18
.347,.794,5,14,F Hernandez,8
.410,.840,6,20,G Welsh,24
.333,.715,1,18,J Bogany,13
.297,.642,3,30,T Beckham,13
.301,.724,3,21,D Rams,15
.305,.614,1,14,W McFadden,13
.356,.812,3,26,C Fuller,11
.301,.577,3,5,P Gonzalez,6
.296,.656,2,10,I Castro,12
.398,.932,8,38,E Otero,21
.363,.812,4,35,J Kendall,9
.337,.796,4,39,A Garcia,10
