BB,2B,Player,SF,RBI,CS,HR
0,0,S Mende,0,0,0,0
11,3,S Rodriguez,2,4,0,0
2,1,A Hedges,0,0,0,0
15,6,R Schwartz,0,13,1,5
14,16,B Krill,3,43,4,6
13,10,B Zapenas,4,18,0,1
49,13,P Hoilman,1,44,0,17
14,13,B Fuenmayor,1,29,0,6
6,0,J Ballard,0,7,0,1
5,2,K Socorro,1,6,0,0
11,8,C Bell,2,17,0,1
5,6,D Harrington,0,4,1,0
29,8,S Payne,0,19,6,0
19,11,J Ribera,1,33,1,5
23,13,B Humphries,1,27,2,2
30,11,J Simon,1,34,3,5
5,5,J Kim,0,11,0,2
21,12,J Miller,1,14,3,0
3,0,C Tyrell,0,0,0,0
1,4,M Johnson,1,6,0,0
28,16,J Blash,1,43,3,11
21,9,J Staley,0,30,0,8
24,17,R Casteel,2,30,5,1
24,4,L Reyes,0,17,2,2
0,0,N Urbanus,0,0,0,0
16,13,Z Kometani,1,39,0,4
0,0,C Romero,0,0,0,0
31,10,C Spangenberg,2,20,4,1
13,9,Z Jones,0,14,1,2
17,0,D Brock,1,8,2,1
19,7,J Langfels,1,24,2,5
16,4,R Navarro,2,13,2,0
8,4,O Zapata,1,10,3,2
5,8,C Moore,2,11,0,1
10,7,L Gonzalez,0,15,0,1
18,6,K Patterson,2,21,0,5
28,14,M Murray,3,48,0,6
5,6,B Kervin,1,7,3,0
2,0,R Ingram,0,1,1,0
22,5,J Berti,1,21,5,1
21,20,T Adams,1,36,0,1
6,4,A Burns,0,7,1,2
0,0,D Fitzgerald,0,0,1,0
14,8,G Buechele,3,27,0,5
1,0,R Rua,0,3,0,1
25,9,J Galindo,3,20,8,2
4,2,B Lane,0,4,1,0
38,21,B Nicholas,5,45,0,6
3,1,J Squier,0,4,1,1
10,6,C McElroy,1,11,2,2
18,9,M Newman,4,17,5,3
22,8,W Moss,3,21,8,0
17,8,T Featherston,0,20,1,2
18,6,E Paquette,0,11,0,0
11,2,C Vitale,1,6,1,0
38,13,L Orr,2,35,2,8
4,9,J Alfaro,0,23,0,6
11,7,J Agudelo,1,22,3,7
14,4,P Brady,2,13,3,1
1,0,K Quackenbush,0,1,0,0
10,13,R Sierra,0,28,4,4
25,14,P Chen,5,30,6,2
2,3,R Honeycutt,0,2,0,1
20,4,P Rankin,1,8,4,3
3,1,D Killian,0,1,1,1
45,13,M Littlewood,0,30,3,8
10,0,J Minyety,0,8,2,0
1,2,T Van Winkle,0,6,0,0
16,3,B Springfield,0,14,1,2
15,7,Y Cabezas,1,17,3,1
13,4,D Hernandez,1,18,6,2
7,4,M Dowd,1,16,0,2
9,8,H Alberto,2,16,1,0
19,6,S Opitz,2,25,2,0
9,10,D Burkhart,1,21,0,4
3,1,C Noble,1,6,0,0
14,5,J Shepherd,0,4,2,0
18,5,R Morla,3,21,5,4
40,2,H Onaka,1,8,6,1
9,5,N Melendres,0,19,5,1
9,1,K Na,0,4,3,0
