ORtg,MP,DRtg,ORB%,STL%,TS%,TOV%
104,8:00,111,15.8,0.0,.798,34.7
104,16:00,106,0.0,0.0,.347,0.0
106,4:00,117,0.0,0.0,1.136,53.2
16,7:00,124,15.6,0.0,.000,75.0
142,13:00,113,0.0,0.0,.667,0.0
250,10:00,133,0.0,0.0,1.136,0.0
160,9:00,113,12.4,5.2,1.054,23.1
120,4:00,119,42.9,0.0,1.136,53.2
87,5:00,111,19.6,0.0,.500,33.3
59,21:00,115,4.3,2.3,.167,0.0
41,7:00,114,18.5,0.0,.000,0.0
73,23:00,112,4.7,0.0,.363,22.5
95,21:00,131,16.9,0.0,.432,17.8
112,21:00,110,14.3,0.0,.595,14.5
200,11:00,121,0.0,0.0,1.000,0.0
 ,3:00,94,0.0,0.0, , 
55,19:00,120,0.0,2.4,.286,22.2
131,11:00,128,10.4,0.0,.510,0.0
55,9:00,109,12.7,5.3,.347,41.0
126,17:00,129,0.0,0.0,.628,10.2
64,3:00,98,37.2,15.3,.000,0.0
102,5:00,114,0.0,0.0,.420,0.0
91,12:00,132,0.0,0.0,.425,0.0
105,5:00,60,53.3,17.3,.532,34.7
77,7:00,130,12.2,0.0,.250,0.0
176,12:00,119,18.2,4.0,.773,0.0
119,15:00,76,24.6,6.3,.742,25.5
140,13:00,125,25.8,0.0,.654,0.0
0,2:00,95,0.0,0.0, ,100.0
130,12:00,119,0.0,4.1,1.064,34.7
166,9:00,133,18.4,0.0,.740,0.0
79,19:00,87,12.6,2.2,.291,22.5
118,8:00,134,0.0,0.0,1.000,33.3
