Date,GmSc,USG%,ORB%,DRB%,TRB%
2000-03-12,-0.3,12.0,0.0,18.8,8.6
2000-04-04,0.9,9.8,0.0,15.3,8.7
2000-04-12,1.1,17.3,0.0,12.0,5.8
1999-11-12,0.9,0.0,0.0,27.8,14.1
2000-03-26,-0.9,12.2,0.0,0.0,0.0
1999-12-10,-0.4,9.0,18.1,0.0,9.5
2000-03-10,0.4,9.8,0.0,6.0,3.2
1999-12-18,0.9,14.1,0.0,0.0,0.0
1999-11-04,-2.2,22.1,0.0,0.0,0.0
1999-11-17,-0.4,21.6,47.1,0.0,24.5
1999-11-24,9.1,20.7,16.7,6.4,10.8
2000-03-28,1.6,19.9,21.3,0.0,7.6
2000-01-19,-0.8,24.0,18.0,0.0,7.3
2000-03-02,3.9,17.0,0.0,16.7,10.3
2000-01-29,0.0,0.0,0.0,0.0,0.0
2000-03-20,-1.8,4.0,0.0,12.5,5.8
2000-04-19,-0.6,8.6,0.0,24.4,11.1
2000-03-05,8.2,12.6,0.0,5.3,2.8
2000-03-21,-0.9,15.9,6.6,0.0,3.1
2000-04-10,0.0,14.6,5.0,0.0,2.6
2000-03-30,3.0,10.8,0.0,6.9,3.3
2000-04-18,5.1,11.4,0.0,14.9,7.6
2000-01-22,0.0,0.0,0.0,0.0,0.0
1999-11-22,0.3,0.0,0.0,14.0,6.7
1999-12-29,0.0,0.0,0.0,0.0,0.0
1999-12-11,0.3,9.9,0.0,0.0,0.0
1999-12-04,1.2,14.1,17.2,0.0,7.2
2000-01-03,-1.4,14.8,0.0,0.0,0.0
1999-11-05,-0.7,10.0,0.0,0.0,0.0
2000-02-28,7.7,10.9,5.6,21.7,14.7
