R,H,G,POS,3B,HR,Player,Team
24,40,49,C,0,2,B Ward,BOW
0,0,3,SS,0,0,D Fiorito,TRN
2,3,3,OF,0,0,G Barber,BOW
71,130,118,CF,6,10,D Fields,ERI
14,41,58,LF,1,0,K Vitek,POR
16,24,18,3B,0,3,R Segedin,TRN
66,160,131,SS,10,2,D Santana,NBR
0,0,1,SS,0,0,M Reynolds,BIN
0,3,3,C,0,0,T Joseph,REA
31,70,97,3B,2,2,S Nicol,HAR
3,9,12,LF,1,1,N Reimold,BOW
35,55,67,3B,3,19,M Sano,NBR
42,76,74,2B,1,2,J Horton,BOW
77,120,127,3B,2,6,J Rodriguez,BIN
2,2,1,CF,0,0,M Oliberto,TRN
7,11,17,CF,1,1,M Williams,TRN
12,19,35,C,0,2,J Suomi,REA
21,41,52,C,0,10,M Spring,POR
28,54,60,1B,2,5,A Baker,BOW
20,52,73,1B,1,4,K Ahrens,NH
6,12,23,RF,0,0,S Brown,TRN
1,2,2,RF,0,0,T Snider,ALT
34,48,39,LF,2,1,X Avery,BOW
66,108,136,3B,2,12,W Gaynor,ERI
46,74,99,3B,0,23,B Waring,BOW
30,48,58,2B,1,3,M Lawson,AKR
6,11,20,2B,0,0,C Jones,ERI
1,6,5,3B,0,0,W Betemit,BOW
3,6,11,C,0,0,A Rosario,POR
3,2,3,C,0,0,D Ross,POR
14,26,39,3B,0,1,K Mahoney,TRN
12,32,34,C,0,0,X Carrillo,BIN
10,18,21,3B,0,0,T Manzella,NH
1,1,1,2B,0,0,E Farris,NBR
11,19,21,OF,0,1,R Bermudez,POR
12,24,20,SS,1,1,W Ibarra,TRN
9,18,18,CF,0,1,T Naquin,AKR
1,1,4,C,0,0,M Perez,ALT
67,136,131,3B,3,16,M Almanzar,POR
70,96,121,RF,4,21,R Rodriguez,NBR
40,68,56,SS,6,6,X Bogaerts,POR
40,70,71,OF,1,10,C Vaughn,BIN
12,26,25,RF,1,0,M Johnson,POR
4,6,6,C,1,0,J Centeno,BIN
74,155,135,C,2,22,C Joseph,BOW
35,91,117,SS,2,4,E Duran,REA
6,12,16,C,0,0,J Gil,TRN
36,71,66,3B,3,2,G Cecchini,POR
48,99,96,C,1,5,C Vazquez,POR
3,7,17,C,0,0,J Navarro,RIC
62,138,139,1B,2,23,J Murphy,REA
1,1,5,C,0,0,B Moss,RIC
32,43,53,SS,1,7,J Johnson,HAR
40,65,88,2B,1,2,D Gibson,POR
26,47,56,2B,0,3,R Dent,POR
3,5,7,RF,0,0,W Ramirez,NBR
1,1,2,3B,0,0,M Skole,HAR
2,6,9,RF,0,1,D Alvarez,BOW
51,80,72,3B,2,1,T Kelly,BOW
8,26,28,C,0,0,K Knudson,NBR
70,142,131,LF,3,16,J Herrera,RIC
42,120,116,3B,2,8,G Urshela,AKR
41,78,88,3B,0,5,R Corona,TRN
43,77,101,OF,1,4,A Harris,BIN
32,76,86,DH,3,3,C Cutler,ALT
45,109,87,2B,2,4,H Perez,ERI
13,33,48,2B,0,1,A Zazueta,NH
31,60,73,SS,0,2,E Adrianza,RIC
34,49,49,C,0,6,J Murphy,TRN
1,0,2,C,0,0,C Schaeffer,NH
36,64,68,CF,2,6,G Polanco,ALT
1,8,7,C,0,1,K Higashioka,TRN
18,35,41,C,0,8,C Rupp,REA
1,4,6,SS,0,1,S Drew,POR
17,37,33,3B,2,6,A Rendon,HAR
57,107,128,3B,4,8,R Hague,HAR
5,6,4,1B,0,0,J Turner,BIN
19,43,56,C,1,3,J Murphy,NH
31,68,80,3B,4,4,T Henson,REA
5,8,18,2B,0,1,C Iorg,BOW
25,56,56,OF,1,10,K Dugan,REA
0,2,3,SS,0,0,F Rosario,TRN
2,4,9,C,0,0,N McCoy,TRN
0,5,4,2B,0,0,N Walker,ALT
2,3,4,C,0,0,T Sanchez,ALT
