AST%,eFG%,Age,Rk,DRB%,BLK%,ORB%,USG%,STL%
0.0,.200,23-044,41,10.9,0.0,8.6,32.5,9.4
9.6,.286,22-294,3,14.8,5.2,22.2,27.2,0.0
0.0,.125,22-312,11,18.6,0.0,5.3,18.9,0.0
0.0,.500,23-029,34,14.3,0.0,0.0,21.9,0.0
0.0,.500,23-056,44,12.7,4.5,7.6,27.3,0.0
0.0,1.000,22-310,10,9.9,0.0,0.0,15.5,0.0
0.0,.000,23-068,49,28.6,0.0,0.0,23.1,0.0
0.0,.667,23-019,33,32.7,0.0,34.0,47.5,0.0
0.0,.250,22-289,1,7.0,4.4,7.5,15.6,0.0
23.6,.300,22-290,2,16.8,0.0,5.7,30.2,0.0
0.0,.000,22-334,20,47.1,0.0,76.2,26.5,0.0
31.9, ,22-331,19,0.0,0.0,19.0,6.2,0.0
42.9,1.000,23-038,38,29.3,0.0,26.1,19.9,0.0
0.0,.000,23-008,30,47.1,0.0,0.0,28.0,0.0
0.0,1.000,23-071,51,0.0,0.0,0.0,7.2,0.0
0.0, ,22-306,8,37.2,0.0,0.0,13.7,0.0
0.0, ,22-354,24,0.0,0.0,32.0,12.0,0.0
0.0,.000,23-041,39,0.0,0.0,0.0,27.6,16.1
10.3,.000,22-363,27,29.3,0.0,8.7,23.0,4.2
0.0,.750,22-304,7,0.0,0.0,17.2,21.1,6.1
0.0,.000,22-343,22,0.0,0.0,0.0,16.5,4.9
0.0,.000,23-055,43,30.6,8.0,10.7,7.5,0.0
0.0,.000,22-329,18,22.2,0.0,0.0,21.7,0.0
0.0,.500,23-003,28,15.2,0.0,0.0,19.3,0.0
0.0,.000,23-080,54,0.0,0.0,0.0,7.6,0.0
0.0,.000,23-066,48,36.1,10.4,0.0,5.8,0.0
0.0,.250,22-301,5,13.7,0.0,12.7,28.4,0.0
0.0,1.000,23-082,55,0.0,0.0,0.0,11.5,0.0
0.0,1.000,22-315,12,98.0,0.0,100.0,21.3,0.0
0.0, ,23-043,40,0.0,0.0,0.0,15.0,0.0
0.0,1.000,23-085,57,30.6,6.3,0.0,18.8,4.6
0.0,.000,22-317,13,0.0,0.0,100.0,54.7,0.0
0.0,.000,23-006,29,41.7,0.0,22.3,39.3,0.0
0.0,.000,22-337,21,0.0,0.0,0.0,8.5,0.0
0.0,.500,23-062,46,27.1,0.0,18.7,20.5,3.5
0.0, ,22-357,26,0.0,0.0,0.0,0.0,0.0
0.0,.000,22-322,15,0.0,0.0,0.0,23.5,0.0
0.0,.500,22-356,25,0.0,0.0,0.0,27.0,0.0
