H,BB,GIDP,G,SB,2B,SLG
4,4,1,9,0,0,0.154
1,0,0,1,0,0,0.333
18,1,0,24,0,6,0.3
51,17,1,49,4,9,0.551
5,2,0,8,0,1,0.3
113,81,10,118,1,36,0.392
19,2,0,24,1,3,0.4
89,15,4,66,36,20,0.395
1,1,0,3,0,0,0.083
59,14,7,61,1,10,0.359
47,19,7,49,2,14,0.415
84,28,15,99,2,13,0.304
30,11,3,41,6,4,0.376
10,3,2,17,7,2,0.162
97,18,5,83,2,19,0.459
99,31,5,112,2,18,0.378
82,52,7,101,14,14,0.305
56,6,1,41,7,12,0.56
9,3,0,9,2,3,0.441
103,54,4,114,23,20,0.377
44,10,3,38,0,10,0.46
77,30,9,69,5,10,0.368
80,28,4,88,4,20,0.42
98,35,13,125,7,18,0.349
107,17,4,76,9,11,0.593
1,0,0,1,0,0,0.5
113,69,7,99,7,34,0.563
1,0,0,1,0,1,0.5
80,21,5,84,47,10,0.33
161,18,7,124,40,26,0.408
120,32,4,121,5,33,0.436
26,1,2,31,4,6,0.404
36,15,2,50,2,5,0.321
3,0,0,2,0,0,0.333
5,2,0,4,2,0,0.357
101,47,2,84,1,18,0.589
7,1,1,10,0,3,0.345
4,3,1,5,0,0,0.389
29,19,2,43,14,9,0.351
0,1,2,4,0,0,0.0
62,17,2,47,0,13,0.564
46,11,3,48,7,9,0.42
31,13,0,17,1,4,0.514
3,2,0,7,0,0,0.15
69,16,6,67,23,15,0.572
165,79,9,133,16,42,0.453
112,42,10,118,1,20,0.336
121,36,9,114,5,24,0.395
46,20,6,45,9,6,0.335
75,25,7,102,1,14,0.292
158,63,13,132,8,28,0.424
2,0,0,1,0,0,1.0
86,35,6,76,5,28,0.548
133,34,9,109,24,30,0.494
1,0,0,4,0,0,0.167
68,13,4,57,8,13,0.478
82,22,2,62,6,18,0.405
132,49,12,118,2,15,0.331
39,24,7,66,0,5,0.224
98,23,1,82,10,17,0.512
4,1,0,4,0,3,1.0
71,11,2,56,0,14,0.403
37,14,2,41,1,12,0.418
12,2,2,21,1,1,0.183
132,53,5,126,5,30,0.505
89,14,3,73,2,20,0.517
22,10,1,24,3,4,0.337
93,41,14,101,1,22,0.434
11,0,0,5,1,2,0.9
74,13,13,82,2,12,0.336
5,0,0,2,1,0,1.833
12,5,4,19,0,2,0.184
28,23,1,38,14,4,0.266
10,2,1,9,0,0,0.515
12,1,1,17,0,5,0.426
47,12,6,52,1,9,0.447
121,65,5,122,0,30,0.489
68,9,7,55,0,13,0.509
49,13,2,67,11,12,0.396
1,5,0,11,1,0,0.042
8,2,0,5,0,3,1.0
139,33,7,128,25,31,0.441
2,0,0,2,0,0,0.333
136,24,14,123,1,41,0.412
68,37,0,56,17,5,0.402
133,55,8,119,35,30,0.406
69,17,3,68,8,16,0.41
124,37,7,125,31,10,0.383
77,14,9,80,0,13,0.361
49,39,9,79,4,6,0.267
1,0,0,3,0,0,0.111
26,10,1,32,0,6,0.281
7,19,1,24,0,0,0.108
7,1,0,11,1,0,0.3
19,23,0,38,3,5,0.226
67,6,3,80,15,10,0.314
94,26,3,70,1,20,0.479
16,4,2,22,0,3,0.266
4,0,0,3,2,1,0.5
7,7,0,7,0,1,0.458
25,13,1,32,2,4,0.358
4,5,0,8,1,0,0.241
90,21,7,99,1,28,0.408
134,24,5,130,35,22,0.416
0,0,1,2,0,0,0.0
23,8,3,20,2,5,0.5
44,13,3,47,0,7,0.368
94,35,2,96,5,25,0.451
122,33,13,131,5,32,0.395
26,6,3,32,4,7,0.321
105,21,12,103,5,26,0.434
55,13,3,53,2,10,0.47
92,39,4,106,10,17,0.357
38,4,1,50,4,7,0.333
2,4,1,5,0,0,0.118
20,1,4,15,1,1,0.333
38,5,5,59,0,10,0.305
131,77,7,137,4,32,0.569
6,4,0,13,0,0,0.211
22,12,3,64,2,4,0.221
48,23,2,52,3,12,0.431
7,3,0,11,0,3,0.5
125,30,7,108,30,20,0.406
0,0,0,1,0,0,0.0
63,17,1,63,0,8,0.449
107,31,8,111,10,24,0.351
140,44,8,127,8,34,0.422
1,0,0,1,0,1,0.667
121,33,5,112,22,20,0.385
90,29,7,78,1,33,0.456
60,21,7,54,10,10,0.402
16,2,3,20,0,2,0.3
76,18,3,77,2,10,0.392
1,0,1,4,0,0,0.063
122,28,11,108,4,33,0.446
0,1,0,1,0,0,0.0
107,46,14,117,9,19,0.392
