R,Player,AB,RBI,OBP,OPS
56,J Whittleman,466,43,0.313,0.657
10,B Crabtree,196,24,0.29,0.597
80,W Rhymes,506,39,0.332,0.656
14,H Guerrero,88,14,0.34,0.692
9,C Wu,77,9,0.229,0.489
23,S Tolleson,171,16,0.39,0.782
40,B Everett,297,22,0.358,0.709
4,D Berg,26,4,0.313,0.62
76,D Nelson,486,48,0.343,0.704
43,M Trumbo,428,59,0.293,0.648
50,W Crouch,283,34,0.336,0.746
55,J Metropoulos,396,56,0.378,0.805
8,J Muyco,127,15,0.271,0.563
13,W Luque,89,9,0.35,0.709
21,I Gac,208,26,0.227,0.583
27,D Freese,204,44,0.374,0.884
37,J Flaig,336,27,0.269,0.575
24,C Middleton,278,29,0.243,0.506
10,M Betsill,100,7,0.363,0.683
9,E Durante,96,9,0.321,0.634
47,C Suarez,350,35,0.334,0.746
16,M Hamilton,142,25,0.307,0.68
48,D Morris,453,60,0.303,0.679
50,B Anderson,381,51,0.377,0.794
38,O Mercado,292,58,0.344,0.772
48,R Garth,404,48,0.339,0.753
67,M Lisson,463,73,0.368,0.789
6,C Cooper,21,5,0.423,0.899
3,A Colon,31,2,0.194,0.291
23,J Lopez,179,19,0.285,0.576
3,A Martinez,64,2,0.121,0.231
4,A Liddi,38,2,0.2,0.411
11,R Roberson,133,13,0.282,0.567
41,C Tatum,343,37,0.344,0.752
21,A Moore,165,24,0.342,0.773
0,L Sanchez,10,2,0.4,0.8
18,H Sanchez,168,18,0.272,0.617
9,B Key,107,5,0.303,0.62
26,R Malone,183,29,0.385,0.811
19,R Chang,91,8,0.409,0.838
0,J Morgan,11,0,0.273,0.636
23,J Portes,268,33,0.278,0.587
62,J Vallejo,496,29,0.289,0.573
18,T Schlichting,99,9,0.356,0.76
43,J Gonzalez,309,28,0.286,0.606
40,D Thompson,283,23,0.321,0.703
2,J Salazar,24,0,0.333,0.583
9,R Mercado,94,10,0.287,0.606
45,L Valbuena,325,38,0.371,0.771
14,B Taylor,188,18,0.257,0.587
20,J Armstrong,200,16,0.324,0.634
10,C Steiner,144,20,0.26,0.544
3,M Antonelli,16,0,0.222,0.535
72,S Johnston,458,58,0.329,0.741
35,F Curreri,207,38,0.394,0.839
11,J Rivera,106,8,0.261,0.487
3,E Nunez,40,3,0.238,0.538
13,T Scott,132,20,0.278,0.611
59,J Johnson,381,40,0.391,0.704
68,H Statia,417,38,0.379,0.763
62,R Norwood,505,69,0.354,0.805
2,R Contreras,38,1,0.15,0.255
22,A Van Slyke,215,20,0.278,0.548
8,B Rousseve,88,0,0.167,0.28
11,O Pena,100,14,0.29,0.67
3,B Lalli,68,4,0.247,0.482
37,A Garibaldi,305,29,0.293,0.624
7,A Davidiuk,88,7,0.286,0.502
0,J Hooft,14,0,0.0,0.0
3,Y Lasso,10,0,0.357,0.557
77,P Ciriaco,550,32,0.308,0.628
48,R Sosa,334,36,0.356,0.757
51,E Eymann,437,41,0.302,0.657
20,J St. Clair,145,9,0.281,0.598
23,A Jamieson,218,21,0.359,0.73
17,D Peterson,208,7,0.269,0.548
4,F Tirado,26,2,0.333,0.641
36,R Padron,339,52,0.299,0.611
20,B Sabatella,176,17,0.259,0.549
30,J Dominguez,247,16,0.332,0.624
24,L Cotto,136,14,0.369,0.7
0,J Urgelles,7,0,0.125,0.125
31,B Mosby,291,45,0.307,0.719
13,C Simmons,172,15,0.315,0.605
71,M Griffin,548,52,0.304,0.681
34,S Mena,349,47,0.352,0.741
2,R Cruz,54,5,0.155,0.322
34,D Hicks,375,42,0.292,0.622
72,F Martinez,414,58,0.344,0.726
10,B Yarbrough,109,12,0.339,0.761
16,J Reininger,105,10,0.359,0.693
17,C Minaker,162,17,0.362,0.812
10,C Smith,76,15,0.333,0.728
24,M Edwards,199,11,0.322,0.623
0,B Parker,21,0,0.045,0.045
48,N Walton,415,29,0.253,0.499
36,A Rosales,222,29,0.328,0.747
13,J Leger,121,16,0.317,0.639
23,C Lopez,345,23,0.259,0.535
0,J Kunkel,8,0,0.0,0.0
86,J Baisley,466,110,0.382,0.901
29,M Albano,254,32,0.278,0.565
2,M Sweeney,7,1,0.25,0.821
22,B Valichka,221,31,0.299,0.666
16,C Denove,162,17,0.246,0.48
