#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
-,Denis Ikovlev,Starter,SF,40:00,6-10,0-2,0-0,10.2,1.0,7.0,8.0,3.0,3.0,1.0,3.0,0.0,12.0
-,Vitali Malchevskiy,Starter,C,04:38,0-2,0-2,0-0,0.2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
-,Aaron McGhee,Starter,PF,24:32,4-11,0-2,6-8,5.2,2.0,8.0,10.0,0.0,3.0,1.0,5.0,0.0,14.0
-,Predrag Miletic,Starter,SG,08:46,0-3,0-0,0-0,-2.2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-,Darrel Mitchell,Starter,PG,38:15,6-19,2-7,3-3,9.1,0.0,2.0,2.0,8.0,2.0,3.0,4.0,0.0,17.0
-,Sergei Popov,Bench,SG,18:27,1-3,0-0,2-2,8.5,0.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,4.0
-,Alexander Prokopenko,Bench,PG,22:52,5-6,4-5,1-2,11.2,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,15.0
-,Artem Pustovyi,Bench,C,20:55,1-2,0-0,0-0,2.2,1.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,2.0
-,Oleksandr Sizov,Bench,SG,13:25,3-5,0-0,0-0,2.5,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0
-,Stanislav Zavadsky,Bench,C,08:10,3-3,0-0,3-3,3.1,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,9.0
 ,Team, , , , , , , , , ,6.0, , , , , , 
 , , , ,200,29-64,6-18,15-18,50.2,9.0,24.0,39.0,15.0,16.0,7.0,17.0,2.0,79.0
 , , , , ,45.3%,33.3%,83.3%, , , , , , , , , , 
