SO,R,AVG,3B
43,32,.211,0
13,11,.301,0
1,1,.474,0
18,15,.224,2
39,22,.235,0
43,32,.283,1
26,14,.247,0
54,18,.300,1
32,25,.254,1
44,34,.301,4
15,17,.201,0
15,20,.384,0
10,7,.128,0
22,15,.272,1
24,9,.239,0
38,28,.248,1
58,30,.277,1
32,13,.243,2
32,19,.221,0
3,2,.214,0
41,31,.261,4
27,5,.185,0
4,2,.333,0
47,32,.292,1
44,24,.263,2
83,31,.219,3
48,19,.218,0
88,45,.219,2
16,13,.195,0
27,31,.285,6
22,7,.302,1
14,11,.192,2
49,42,.294,7
56,25,.256,0
51,20,.250,0
33,37,.332,2
46,18,.163,0
19,6,.228,0
84,30,.200,0
4,4,.283,0
25,7,.206,0
30,14,.238,1
3,2,.235,0
21,9,.232,0
15,21,.267,1
35,25,.230,0
17,8,.170,0
37,33,.262,3
51,24,.201,3
3,1,.200,0
39,45,.272,2
10,5,.200,0
68,22,.220,2
32,17,.242,0
21,15,.228,0
23,11,.209,1
20,13,.268,5
25,49,.341,3
15,10,.171,0
50,29,.256,0
23,15,.301,0
14,10,.179,0
28,7,.198,0
