H,2B,SLG,SB,R,OBP
19,2,.276,0,4,.225
115,22,.438,6,71,.394
46,6,.320,2,29,.275
83,7,.283,15,41,.295
1,0,.059,0,0,.150
70,8,.305,3,42,.324
128,22,.425,8,65,.323
150,21,.423,16,91,.419
77,23,.409,1,38,.390
25,7,.369,0,12,.304
44,10,.398,1,25,.361
19,4,.307,1,6,.321
112,17,.397,22,54,.351
59,11,.414,0,25,.362
98,15,.344,8,50,.299
119,29,.580,4,76,.397
90,27,.403,6,54,.294
4,0,.333,0,0,.385
20,5,.486,0,9,.324
150,42,.513,17,70,.404
7,1,.364,1,5,.400
126,22,.443,4,65,.334
126,27,.433,1,64,.405
113,29,.442,11,57,.302
45,9,.511,1,30,.492
20,3,.444,0,9,.358
81,14,.432,2,45,.359
2,0,.250,0,0,.333
146,20,.348,8,61,.333
65,11,.319,0,38,.368
30,7,.333,3,26,.220
31,5,.381,0,13,.293
2,0,.364,0,1,.182
72,21,.380,4,32,.363
112,20,.448,3,60,.354
90,16,.380,2,37,.305
90,17,.346,9,47,.357
22,3,.429,1,8,.341
59,15,.404,4,35,.328
20,1,.223,0,13,.237
144,32,.429,34,83,.396
38,15,.348,0,14,.268
44,6,.289,0,22,.357
3,2,.179,0,1,.167
136,35,.486,6,80,.381
77,13,.405,1,51,.408
99,13,.374,6,64,.361
40,12,.319,1,11,.330
51,15,.345,0,30,.306
22,0,.330,0,11,.297
