SH,3B,Player,OPS,OBP,H,R,RBI,HR,SF
0,0,J Langham,.639,.291,26,20,19,4,0
0,0,R Cruz,.769,.319,61,33,40,10,0
6,5,E Tartaglia,.768,.381,81,41,26,1,2
0,1,F Peguero,.772,.354,67,38,46,6,2
0,0,C Cook,.925,.347,53,29,46,15,9
5,5,E Santana,.813,.400,72,51,29,3,0
1,4,W Perez,1.024,.465,46,29,23,2,3
1,0,S Suarez,.702,.323,32,13,19,3,0
2,2,A Larsen,.767,.361,62,41,31,7,1
0,0,M Landry,.779,.375,12,10,8,2,0
0,2,B Mummy,.656,.331,31,25,14,1,0
0,1,B Berglund,.687,.336,41,26,27,4,1
0,0,E Hollis,.695,.372,27,12,8,0,1
2,0,M Loupadiere,.636,.326,22,12,5,0,0
0,0,R Delgado,.899,.423,6,4,1,1,0
4,1,R Nazario,.576,.312,41,24,12,0,0
3,4,D Fowler,.767,.357,60,43,23,4,0
0,3,G Strickland,.608,.291,28,13,7,0,0
0,0,J Turner,.883,.385,59,36,44,12,0
0,0,I De Jesus,.519,.296,15,4,3,0,0
1,0,J Silva,.655,.298,9,4,7,1,0
3,4,J Johnson,.757,.369,31,20,26,2,1
2,0,J Schmidt,.673,.303,37,13,15,1,0
4,6,D Roberts,.793,.327,63,40,29,7,4
0,4,M Rodriguez,.807,.320,67,43,43,9,2
0,0,J Jirschele,.479,.290,10,8,4,0,1
2,0,C Wimberly,.854,.427,107,58,22,1,2
0,0,H Arias,.000,.000,0,0,0,0,0
5,3,M Tribble,.729,.351,68,38,31,1,5
0,0,B Camardese,--,--,0,0,0,0,0
0,0,B Katin,1.120,.471,44,30,26,8,2
1,1,O Diaz,.733,.313,68,35,38,6,3
7,8,C McConnell,.919,.403,91,56,39,6,7
0,0,L Lajara,.598,.280,4,2,4,1,0
0,0,A Mannon,.813,.338,14,10,9,4,0
0,0,P Lepage,.000,.000,0,0,1,0,0
0,0,K Schambough,--,--,0,0,0,0,0
3,2,B Johnson,.724,.338,59,30,20,2,0
0,0,K Feiner,.200,.100,1,2,1,0,0
0,0,K Pujols,.563,.276,17,7,11,2,1
2,1,K Thibault,.981,.388,45,27,34,9,1
2,0,J Brownell,.673,.318,20,14,9,3,0
1,0,G Dini,.828,.368,13,6,4,0,0
1,1,E Roman,.745,.364,15,13,5,2,1
3,0,B Barber,.755,.407,28,20,10,0,0
3,1,J Castillo,.590,.303,39,24,20,1,1
1,0,R Rodriguez,.656,.330,23,8,9,1,2
0,0,C Blevins,.798,.413,13,6,5,0,1
