OPS,CS,POS,2B,AB,SB,SLG,RBI,GIDP,AVG
1.0,0,SS,1,3,0,0.667,1,0,0.333
0.742,0,SS,8,64,0,0.438,10,1,0.266
0.97,5,SS,21,395,6,0.595,84,9,0.296
0.786,3,2B,8,201,2,0.438,31,4,0.269
0.584,1,SS,7,131,1,0.313,13,6,0.221
0.875,0,SS,4,73,3,0.425,8,1,0.329
0.751,1,SS,15,234,3,0.41,39,4,0.291
0.735,4,2B,31,410,2,0.383,45,12,0.273
0.833,0,SS,3,30,0,0.467,3,1,0.367
0.638,2,2B,11,249,9,0.329,25,7,0.249
0.8,4,2B,26,442,13,0.448,60,13,0.296
0.756,0,2B,4,90,1,0.378,15,5,0.289
0.558,2,2B,1,54,0,0.241,6,1,0.222
0.623,0,SS,7,111,6,0.297,7,1,0.234
0.993,1,2B,10,178,3,0.545,28,1,0.331
0.4,0,2B,0,5,0,0.2,1,0,0.2
0.732,1,2B,24,436,2,0.408,55,3,0.275
0.4,0,SS,0,5,0,0.2,0,0,0.2
0.686,1,2B,13,303,6,0.353,36,6,0.244
0.843,4,2B,1,82,0,0.451,12,3,0.293
0.25,0,SS,0,3,0,0.0,0,0,0.0
0.733,2,SS,4,51,0,0.412,10,4,0.275
1.042,1,2B,19,248,4,0.645,52,4,0.306
0.89,2,2B,14,198,8,0.535,36,2,0.308
0.841,0,2B,20,220,2,0.468,30,9,0.282
0.567,4,SS,15,228,0,0.294,15,7,0.219
0.842,2,SS,13,189,4,0.519,27,4,0.291
0.588,2,SS,1,62,2,0.306,6,0,0.258
0.659,3,SS,21,357,2,0.333,31,16,0.261
0.77,3,SS,21,411,3,0.421,35,13,0.285
0.723,3,SS,24,406,4,0.379,34,5,0.271
0.629,2,SS,3,105,0,0.295,15,2,0.219
1.071,0,SS,1,7,1,0.571,1,1,0.429
0.705,1,SS,13,197,6,0.365,24,2,0.234
0.562,1,2B,2,33,1,0.333,4,3,0.182
0.795,0,2B,1,11,0,0.545,1,0,0.182
0.441,3,SS,3,123,7,0.187,3,2,0.163
0.773,0,2B,4,146,1,0.418,17,5,0.26
0.761,3,SS,20,330,16,0.397,42,8,0.276
0.692,0,SS,5,80,1,0.413,10,0,0.238
0.692,0,2B,12,212,3,0.358,21,2,0.226
0.764,1,2B,20,423,3,0.475,62,4,0.253
0.864,0,2B,7,107,1,0.505,15,3,0.299
0.774,0,SS,5,96,0,0.406,8,4,0.302
0.771,2,SS,10,337,1,0.389,42,10,0.255
0.538,0,2B,2,105,0,0.286,12,5,0.21
0.705,0,2B,5,86,1,0.407,7,2,0.244
0.756,4,2B,9,212,10,0.373,20,1,0.302
0.812,5,SS,9,236,11,0.386,16,2,0.297
0.579,1,SS,6,251,5,0.307,29,4,0.223
0.408,0,2B,0,10,0,0.1,0,0,0.1
0.589,3,2B,6,152,1,0.263,2,5,0.224
0.657,4,2B,19,451,6,0.322,39,11,0.215
0.368,1,2B,0,47,0,0.128,0,0,0.128
