GIDP,POS,BB,SB,AVG,G,OBP,HR,SF,R
2,C,8,0,0.231,25,0.311,0,2,10
5,C,37,2,0.272,50,0.427,4,0,21
1,C,6,0,0.073,14,0.208,1,0,1
3,C,11,1,0.2,41,0.27,3,0,12
6,C,49,5,0.272,98,0.365,4,4,40
5,C,9,1,0.255,46,0.309,1,1,7
10,C,25,1,0.247,85,0.322,5,3,41
5,C,8,1,0.232,47,0.267,6,3,20
2,C,0,0,0.167,16,0.167,1,0,2
7,C,35,0,0.277,80,0.362,4,1,42
13,C,38,1,0.283,105,0.348,8,7,66
1,C,2,0,0.091,6,0.231,0,0,1
9,C,27,0,0.216,82,0.285,7,1,40
2,C,6,0,0.211,14,0.326,1,1,3
0,C,0,0,0.5,1,0.5,0,0,1
9,C,28,0,0.206,63,0.315,9,1,26
16,C,24,1,0.21,103,0.263,5,4,26
5,C,10,0,0.221,42,0.272,5,1,14
2,C,10,0,0.209,30,0.287,3,0,9
6,C,34,8,0.242,102,0.312,15,6,62
8,C,42,0,0.248,83,0.348,3,1,39
4,C,13,2,0.189,59,0.246,5,3,24
0,C,0,0,0.0,2,0.0,0,0,0
