Rk,TRB%,ORB%,DRB%,GmSc,Tm,TS%
24,11.3,10.1,12.7,11.8,SEA,.600
59,6.3,0.0,13.3,0.5,SEA,.568
58,12.9,0.0,24.5,0.7,SEA,.200
56,9.8,0.0,20.8,7.2,SEA,.820
26,10.1,0.0,18.0,6.8,SEA,.633
11,8.9,8.9,8.9,3.1,SEA,.190
66,4.9,0.0,9.7,7.8,SEA,.773
20,27.0,22.9,29.8,0.9,SEA,.000
27,3.5,0.0,8.6,6.3,SEA,.605
35,13.1,13.0,13.3,5.2,SEA,.515
4,18.4,23.8,11.7,7.1,SEA,.375
68,10.6,11.8,8.8,-0.2,SEA,.400
42,16.3,0.0,29.6,4.1,SEA,.400
55,0.0,0.0,0.0,0.6,SEA,.333
69,16.5,7.8,22.7,9.3,SEA,.833
48,6.8,0.0,13.6,1.6,SEA,.436
51,10.8,4.9,18.0,5.3,SEA,.500
52,14.6,17.1,12.0,4.2,SEA,.296
8,20.8,10.1,32.0,6.4,SEA,.533
70,14.1,0.0,34.3,-1.6,SEA,.000
47,13.2,0.0,25.7,5.7,SEA,.667
28,18.0,11.1,26.0,3.0,SEA,.400
2,22.0,0.0,39.7,6.3,SEA,1.064
25,15.6,13.4,17.2,6.8,SEA,.581
65,11.8,19.5,0.0,-1.1,SEA, 
15,8.3,0.0,18.3,1.8,SEA,.500
16,13.3,12.7,14.0,7.7,SEA,.595
43,12.6,9.4,15.2,3.0,SEA,1.000
40,11.0,4.0,16.9,7.3,SEA,.666
3,13.3,17.2,9.2,8.7,SEA,.500
31,10.4,0.0,23.5,1.6,SEA,1.000
21,19.5,0.0,34.8,4.2,SEA,.347
44,22.3,18.5,25.4,6.1,SEA,.510
64,13.2,7.7,20.5,-0.3,SEA,.333
60,0.0,0.0,0.0,0.0,SEA, 
22,13.8,5.5,19.9,6.4,SEA,.753
37,14.5,0.0,33.7,4.5,SEA,1.078
67,3.2,0.0,7.2,3.7,SEA,.750
57,53.7,37.5,68.6,2.3,SEA, 
17,23.4,18.0,27.4,-1.5,SEA,.000
