Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 2,Mars Hill,"W, 13-7",-,-,-,-,-,-,-,-,-,-,-
Feb 2,Mars Hill,"W, 6-0",2,2,2,-,2,-,0,1,-,-,1
Feb 3,Mars Hill,"W, 8-4",2,1,1,-,-,1,4,-,1,-,-
Feb 8,at Tampa,"L, 11-9",5,1,3,1,-,-,0,-,1,-,-
Feb 8,at Tampa,"L, 7-6",1,0,0,-,-,-,0,-,1,-,-
Feb 9,at Tampa,"L, 5-1",2,0,0,-,-,-,0,1,1,-,-
Feb 15,Clark Atlanta,"W, 12-0",3,1,1,-,-,-,2,1,1,-,1
Feb 16,Clark Atlanta,"W, 13-1",3,1,1,1,-,-,3,1,-,-,-
Feb 16,Clark Atlanta,"W, 15-2",-,-,-,-,-,-,-,-,-,-,-
Feb 23,at Flagler,"L, 13-12",4,1,1,1,-,-,1,1,1,-,-
Feb 23,at Flagler,"W, 19-6",5,1,2,-,-,-,2,1,1,-,-
Feb 24,at Flagler,"L, 8-4",-,-,-,-,-,-,-,-,-,-,-
Feb 27,at West Ga.,"L, 8-1",4,0,0,-,-,-,0,-,-,-,-
Mar 2,at UNC Pembroke,"L, 5-3",4,0,3,1,-,-,2,-,-,-,-
Mar 2,at UNC Pembroke,"W, 11-6",4,1,1,-,-,-,0,1,2,-,-
Mar 3,at UNC Pembroke,"W, 9-2",3,0,0,-,-,-,0,-,2,-,-
Mar 5,Florida Tech, ,-,-,-,-,-,-,-,-,-,-,-
Mar 8,Ga. Southwestern,"W, 6-5",5,0,0,-,-,-,0,-,1,-,-
Mar 9,Ga. Southwestern,"W, 8-3",2,1,1,-,-,-,0,-,1,-,-
Mar 9,Ga. Southwestern,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 13,West Ga.,"W, 9-6",-,-,-,-,-,-,-,-,-,-,-
Mar 16,Francis Marion,"W, 19-11",5,2,2,-,-,-,0,-,1,-,-
Mar 17,Francis Marion,"L, 15-6",3,2,3,-,-,-,0,1,-,-,-
Mar 17,Francis Marion,"L, 12-8",4,1,0,-,-,-,1,1,1,-,-
Mar 19,North Greenville,"W, 14-2",3,1,1,-,-,1,4,2,-,-,-
Mar 24,Augusta St.,"W, 7-1",4,0,0,-,-,-,0,-,1,-,-
Mar 24,Augusta St.,"W, 7-6",4,0,1,-,-,-,1,-,1,-,-
Mar 25,Augusta St.,"W, 7-3",4,1,1,-,-,-,0,-,1,-,-
Mar 29,at Pfeiffer,"W, 11-9",6,1,2,-,-,1,1,-,1,-,-
Mar 29,at Pfeiffer,"W, 21-2",3,2,3,1,-,-,2,1,-,-,-
Mar 30,at Pfeiffer,"W, 10-5",5,1,2,-,-,1,2,-,1,-,-
Apr 3,Toccoa Falls,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
Apr 6,Lander,"L, 16-3",-,-,-,-,-,-,-,-,-,-,-
Apr 6,Lander,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 7,Lander,"W, 8-7",-,-,-,-,-,-,-,-,-,-,-
Apr 10,at Erskine,"W, 15-5",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at Columbus St.,"L, 13-9",-,-,-,-,-,-,-,-,-,-,-
Apr 13,at Columbus St.,"L, 10-0",-,-,-,-,-,-,-,-,-,-,-
Apr 13,at Columbus St.,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 17,Erskine,"L, 17-6",-,-,-,-,-,-,-,-,-,-,-
Apr 20,at Young Harris,"L, 6-5",1,0,0,-,-,-,0,-,-,-,-
Apr 21,at Young Harris,"W, 10-5",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Young Harris,"W, 17-2",-,-,-,-,-,-,-,-,-,-,-
Apr 26,Montevallo,"L, 12-6",5,0,2,-,-,-,2,-,-,-,-
Apr 26,Montevallo,"W, 10-9",1,0,1,-,-,-,1,-,-,-,-
Apr 27,Montevallo,"W, 15-3",4,1,1,-,-,-,1,1,1,1,-
May 3,at North Georgia,"L, 6-3",1,0,1,-,-,-,0,-,-,-,-
May 4,at North Georgia, ,-,-,-,-,-,-,-,-,-,-,-
May 4,at North Georgia, ,-,-,-,-,-,-,-,-,-,-,-
May 8,vs. Columbus St.,"W, 8-5",4,1,3,-,-,-,2,-,-,-,-
May 9,vs. Francis Marion,"W, 5-0",4,0,2,-,-,-,0,-,1,-,-
May 10,vs. UNC Pembroke,"W, 13-5",6,1,1,-,-,-,0,-,1,-,-
May 12,vs. Montevallo,"W, 3-2",2,1,0,-,-,-,0,1,2,-,-
May 16,vs. USC Aiken,"L, 11-7",4,1,2,-,-,-,0,1,1,1,-
May 17,vs. Lincoln Memorial,"W, 12-0",4,2,3,-,-,1,3,-,-,-,-
May 18,vs. USC Aiken,"W, 9-2",4,1,2,-,-,-,2,-,-,1,-
May 18,vs. Mount Olive,"W, 2-1",3,0,2,-,-,-,1,1,-,-,-
May 19,vs. Coker,"L, 7-2",3,2,1,-,-,1,1,-,-,-,-
